Metric,Mean,Std,Min,Max
RMSE,47.492784168578495,23.688530484294105,31.698178892794107,88.16688690023463
MAE,35.511215457756364,21.086113996497232,21.406431950552026,72.28615287004115
MAPE(%),2.7846434966204034,1.6476403506085788,1.6849020753284074,5.6622477255994905
R2,-1.0839391866907,2.2220885551504597,-4.989795599354039,0.22577068068576212
