model,representation,cev_requested,k,RMSE,MAE,MAPE(%),R2,N
Persistence,none,,,14.136804431021817,7.815928143712572,0.6314901425263058,0.8460061100957079,167
AR(1),none,,,14.089016418100694,7.8855820143141,0.6365642982676901,0.8470454713969676,167
PCA-ARDL,pca,0.75,2.0,14.064042923175677,7.75988988577638,0.6273157245348993,0.8475872301156773,167
PCA-ARDL,pca,0.8,3.0,13.981532178804411,7.735341503769934,0.6250479627702854,0.8493703307095446,167
PCA-ARDL,pca,0.85,4.0,13.97184196091624,7.70815746146715,0.6232375309052388,0.8495790529698602,167
PCA-ARDL,pca,0.9,6.0,13.966609471060583,7.6780765611157635,0.6210734080709132,0.8496916979168375,167
PCA-ARDL,pca,0.95,11.0,14.056247848288713,7.756511476386028,0.6274407100965324,0.8477561345643505,167
