model,representation,cev_requested,k,RMSE,MAE,MAPE(%),R2,N
Persistence,none,,,14.136804431021817,7.815928143712572,0.6314901425263058,0.8460061100957079,167
AR(1),none,,,14.089016418100694,7.8855820143141,0.6365642982676901,0.8470454713969676,167
TH-LSTM,target_history,,0,26.243990875056713,16.938495808383227,1.3547776683679713,0.4692857539537979,167
No-DR LSTM,none,,318,41.32393683017593,28.217541916167658,2.2011366542383826,-0.31584388766830607,167
PCA-LSTM,pca,0.75,2.0,21.695154553316176,13.81789401197605,1.1148589511193696,0.6373175956848984,167
PCA-LSTM,pca,0.8,3.0,24.728418903231805,16.888262874251488,1.349479661855174,0.5288125791299509,167
PCA-LSTM,pca,0.85,4.0,27.40372397947574,19.50988323353294,1.5531200741227127,0.42134440262061046,167
PCA-LSTM,pca,0.9,6.0,31.703785531793955,22.101759281437122,1.7621485607133418,0.22549677168900617,167
PCA-LSTM,pca,0.95,11.0,32.156448222202435,22.23142874251496,1.764789832782103,0.203222362492799,167
