Ngày,PC1,PC2,PC3
2022-01-04,27.281916322074174,1.768835910280094,-6.596815525323336
2022-01-05,27.473639756049916,1.8682865358981418,-6.566429187688352
2022-01-06,27.590390176723545,1.6100421110562428,-6.875270660279297
2022-01-07,27.68407247307656,1.480919607246768,-6.868172102692896
2022-01-10,27.122420017571542,1.0145187349411895,-7.112183898334124
2022-01-11,26.789178169407265,0.6685291879705497,-7.14168685071954
2022-01-12,26.975133638130767,0.7989570798147735,-7.408245106505245
2022-01-13,26.35539872724221,0.6673556365700863,-7.030508699741935
2022-01-14,26.333715885521777,0.7218229430250721,-7.215139651080102
2022-01-17,24.743650116593543,-0.262915422802092,-6.941014885147258
2022-01-18,23.799802214452722,-0.7608228600516846,-6.765844340172916
2022-01-19,24.06797284126758,-0.6652820702073121,-6.558657789008867
2022-01-20,25.08334181371941,-0.09908459962967364,-6.800948961117926
2022-01-21,25.127661171215223,0.012370070450162696,-7.071528005554099
2022-01-24,23.32226502626796,-0.7745863015003664,-6.937682198275628
2022-01-25,23.856919271904165,-0.6730090057140463,-6.999357726039401
2022-01-26,23.824767696669504,-0.6901650169022076,-7.027405445818671
2022-01-27,23.544356518211934,-0.9245707682238375,-6.863953307714031
2022-01-28,24.018626154876557,-0.5143107321736371,-6.804759971563755
2022-02-07,25.223201988525478,-0.019197548028258016,-6.595544137533654
2022-02-08,25.633494030799383,0.2729243221483344,-6.5705584332639155
2022-02-09,26.101412053203276,0.5599019576886247,-6.740462455839156
2022-02-10,26.29465844279963,0.583612480193342,-6.6679045619834305
2022-02-11,26.340933692342347,0.7200160167195733,-6.461068221609436
2022-02-14,25.95197876823689,0.2795223384736744,-6.064842308273065
2022-02-15,26.248936217259864,0.1746181182197052,-6.285535378314991
2022-02-16,26.67382298826545,0.35182015901046493,-6.2396326041046475
2022-02-17,26.95726952926144,0.41441200174410786,-6.287774390854022
2022-02-18,27.2160449102892,0.7397025150724953,-6.14358453377786
2022-02-21,27.522615656538164,1.030558509340714,-6.4264229532644315
2022-02-22,27.37557352872171,0.9189115075798538,-6.342692624563586
2022-02-23,27.812790809378306,1.272709106636412,-6.20874303068771
2022-02-24,27.10336461464574,1.1040928499047262,-5.741787943206122
2022-02-25,27.571013701736298,1.2773391869624124,-5.8929838103592385
2022-02-28,27.684312051786964,1.1070467318504784,-5.702976267237057
2022-03-01,27.873313839335587,1.238327341940017,-5.79048902078058
2022-03-02,27.619285513037774,1.0479031069538736,-5.534255950174302
2022-03-03,28.489068080614608,1.824553338989626,-5.562143792925955
2022-03-04,28.691249787581228,1.8159525137714314,-5.519891632344214
2022-03-07,29.091737033867126,1.9574414351821066,-5.31872449524149
2022-03-08,28.41713901683825,1.3366247664308686,-5.37878153974626
2022-03-09,28.57833592476733,1.8028594779881588,-4.96794379408999
2022-03-10,28.838028197671633,1.9264327113512043,-5.191413308906937
2022-03-11,28.610754641126057,1.7890988302722328,-5.276340066002822
2022-03-14,27.949104705115694,1.1295855512439248,-5.317686157145288
2022-03-15,28.12040048896212,1.0116505525559658,-5.403646516731076
2022-03-16,28.351518552888805,1.2421779145986271,-5.4053597998479805
2022-03-17,28.372879338744312,1.5229679212824052,-5.341846344742981
2022-03-18,28.454809964243204,1.6213134304341836,-5.360455129812747
2022-03-21,28.723874574208388,1.406325386829272,-5.324443325590402
2022-03-22,28.699685710793553,1.4501700336656222,-5.1468602543925375
2022-03-23,28.830568875920633,1.5739245921737135,-4.727425677210576
2022-03-24,29.058884650528363,1.7965153001589826,-4.523323936245948
2022-03-25,29.203973360709647,1.8384285133566725,-4.219912711726826
2022-03-28,29.001841745019654,1.5645589881251298,-3.5849774744605822
2022-03-29,29.489584350882954,2.1460061947891704,-3.5683601678782035
2022-03-30,28.99053331817586,1.9630563659103197,-3.3223031575931823
