Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
20,16,30.530530050709334,22.726678523573764,1.9583029927672801,27.05925256756211,20.662232596544722,1.6544892520026375,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,19
20,32,51.33289257756322,40.35951638391775,3.515332240038781,26.103140176238906,20.42679429465194,1.63691562970715,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,21
30,16,31.26561114054089,23.03984833849277,1.988801929856004,25.855417792099527,20.161094067581306,1.6150809028572002,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,19
30,32,28.277545629201907,21.19288017906219,1.829163409461786,25.756985790937495,20.146887782647365,1.6142015615940137,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,38
40,16,27.08670260173366,20.18904549875567,1.7452326785355714,25.30661569335027,19.91835270579269,1.5988206753107106,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,25
40,32,34.2412163734909,24.730874466434596,2.1312555099076738,25.31463176120066,19.912023389862807,1.5984335093455724,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,29
50,16,34.75333599201874,24.49114241737397,2.1109675470780265,25.532306369948486,20.01692942549543,1.6073919043017768,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,17
50,32,42.890915174918696,30.518282837416407,2.657381378301149,25.434787197825994,20.178118965955292,1.6178563210039,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,24
60,16,25.638617047119048,18.709768835756957,1.6345175193863395,25.268698810862467,19.795690382050307,1.5870394292476948,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,31
60,32,25.637684320338032,18.751664921095394,1.6371964815901603,25.24515841341519,19.93637068089431,1.600569912195667,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,46
