Ngày,PC1,PC2
2022-01-04,27.281916322074174,1.7688359102798001
2022-01-05,27.47363975604992,1.8682865358978475
2022-01-06,27.590390176723545,1.6100421110559462
2022-01-07,27.684072473076554,1.4809196072464723
2022-01-10,27.122420017571535,1.0145187349408977
2022-01-11,26.789178169407265,0.668529187970263
2022-01-12,26.975133638130764,0.7989570798144873
2022-01-13,26.35539872724221,0.667355636569804
2022-01-14,26.333715885521762,0.7218229430247881
2022-01-17,24.743650116593535,-0.2629154228023607
2022-01-18,23.7998022144527,-0.7608228600519461
2022-01-19,24.06797284126757,-0.6652820702075757
2022-01-20,25.0833418137194,-0.09908459962995009
2022-01-21,25.127661171215212,0.012370070449884363
2022-01-24,23.322265026267935,-0.77458630150063
2022-01-25,23.856919271904147,-0.6730090057143137
2022-01-26,23.824767696669493,-0.6901650169024729
2022-01-27,23.54435651821192,-0.9245707682241008
2022-01-28,24.018626154876543,-0.5143107321739069
2022-02-07,25.223201988525467,-0.019197548028539346
2022-02-08,25.63349403079937,0.2729243221480474
2022-02-09,26.10141205320327,0.5599019576883318
2022-02-10,26.29465844279963,0.5836124801930476
2022-02-11,26.340933692342347,0.7200160167192795
2022-02-14,25.951978768236877,0.27952233847338526
2022-02-15,26.24893621725985,0.1746181182194121
2022-02-16,26.67382298826545,0.35182015901016883
2022-02-17,26.957269529261435,0.41441200174380777
2022-02-18,27.216044910289195,0.7397025150721939
2022-02-21,27.52261565653816,1.030558509340407
2022-02-22,27.375573528721713,0.9189115075795491
2022-02-23,27.812790809378306,1.2727091066361051
2022-02-24,27.10336461464575,1.1040928499044294
2022-02-25,27.571013701736305,1.2773391869621074
2022-02-28,27.68431205178696,1.1070467318501727
2022-03-01,27.87331383933559,1.238327341939708
2022-03-02,27.61928551303777,1.0479031069535703
2022-03-03,28.48906808061461,1.8245533389893098
2022-03-04,28.691249787581235,1.815952513771113
2022-03-07,29.091737033867133,1.957441435181788
2022-03-08,28.41713901683825,1.3366247664305537
2022-03-09,28.57833592476733,1.8028594779878464
2022-03-10,28.838028197671633,1.926432711350882
2022-03-11,28.610754641126054,1.7890988302719135
2022-03-14,27.949104705115683,1.1295855512436013
2022-03-15,28.12040048896212,1.0116505525556438
2022-03-16,28.3515185528888,1.2421779145983027
2022-03-17,28.372879338744315,1.5229679212820784
2022-03-18,28.454809964243196,1.621313430433858
2022-03-21,28.72387457420838,1.406325386828952
2022-03-22,28.699685710793545,1.4501700336653058
2022-03-23,28.830568875920633,1.5739245921733929
2022-03-24,29.058884650528366,1.7965153001586596
2022-03-25,29.203973360709643,1.8384285133563478
2022-03-28,29.00184174501966,1.5645589881248072
2022-03-29,29.48958435088295,2.14600619478884
2022-03-30,28.99053331817586,1.9630563659099907
2022-03-31,28.905063364663413,1.8681763511634286
2022-04-01,29.245091256519054,2.159737613111606
2022-04-04,29.382072486082244,2.4724878320151906
2022-04-05,29.2453138161233,2.1104515122891674
2022-04-06,29.0224796759396,1.8781041528855356
2022-04-07,28.45909144280357,1.385801786511327
2022-04-08,27.371559357962454,0.6228219704482981
2022-04-12,26.114119335896536,-0.7072492756762658
2022-04-13,27.051713598482323,-0.11569220667363689
2022-04-14,26.99275467093443,0.05376820886957989
2022-04-15,26.36594918235486,-0.512778960905938
2022-04-18,25.289399258501007,-1.406032893142672
2022-04-19,23.700865881582313,-2.1958309168397214
2022-04-20,21.957824832543007,-2.9802815468950037
2022-04-21,20.482557781030213,-3.614323564841813
2022-04-22,20.108448356971138,-4.028148575860381
2022-04-25,16.377912081802123,-5.721525816141702
2022-04-26,17.820916002376336,-5.304657481002334
2022-04-27,18.722012032072648,-4.882213078455255
2022-04-28,18.960085396891458,-4.971987959082031
2022-04-29,20.16667053429021,-4.831408051815746
2022-05-04,19.637883150491184,-5.24018138259116
2022-05-05,19.562525188598727,-5.520717142011055
2022-05-06,17.60032758218241,-6.521367599049228
2022-05-09,13.769915529168422,-8.259846862446953
2022-05-10,14.186241164756634,-7.824802844265938
2022-05-11,14.71002347643087,-7.59220499787506
2022-05-12,11.438987292830944,-9.15262264835361
2022-05-13,7.613281859814256,-10.463967384832388
2022-05-16,7.181865847764492,-10.154683872157428
2022-05-17,10.663585361143936,-8.951380901106246
2022-05-18,11.328174831298908,-8.574790817278945
2022-05-19,11.10641203596391,-8.704919591415258
2022-05-20,11.358519306066604,-8.404049565010569
2022-05-23,10.571762021194228,-8.77957506163975
2022-05-24,10.760536694758965,-8.604379236707114
2022-05-25,12.967469173610999,-7.718323560799465
2022-05-26,13.56818070365533,-7.605977921866261
2022-05-27,14.221303974352274,-7.321725254210409
2022-05-30,14.720079452775952,-6.915701378007967
2022-05-31,14.556764678127305,-7.057201475665996
