epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.8541816473007202,0.7343426942825317,0.2815219461917877,0.49943026900291443,9.999999747378752e-05
2,0.7397991418838501,0.6902400255203247,0.29545822739601135,0.512945294380188,9.999999747378752e-05
3,0.6526438593864441,0.6480827927589417,0.3067963123321533,0.5238742828369141,9.999999747378752e-05
4,0.5415907502174377,0.595797598361969,0.3163088858127594,0.5327925086021423,9.999999747378752e-05
5,0.46086573600769043,0.5518509149551392,0.3220054507255554,0.5380450487136841,9.999999747378752e-05
6,0.38555657863616943,0.5025527477264404,0.3246675431728363,0.540503978729248,9.999999747378752e-05
7,0.3157860338687897,0.45451322197914124,0.3282933235168457,0.5438597202301025,9.999999747378752e-05
8,0.2601560056209564,0.40622764825820923,0.32782474160194397,0.5435515642166138,9.999999747378752e-05
9,0.2183207869529724,0.36829090118408203,0.3247257471084595,0.5408480167388916,9.999999747378752e-05
10,0.18670272827148438,0.3373332619667053,0.3223448097705841,0.5387683510780334,9.999999747378752e-05
11,0.15591570734977722,0.30760014057159424,0.3174487352371216,0.5344066023826599,9.999999747378752e-05
12,0.14080214500427246,0.29445645213127136,0.31371721625328064,0.5310529470443726,4.999999873689376e-05
13,0.12807995080947876,0.27727726101875305,0.3099944591522217,0.527679443359375,4.999999873689376e-05
14,0.1270136535167694,0.2770175337791443,0.3073040544986725,0.5252372026443481,4.999999873689376e-05
15,0.12869104743003845,0.27920544147491455,0.2998640537261963,0.5183644890785217,4.999999873689376e-05
16,0.12064269930124283,0.2747841477394104,0.2917356789112091,0.5107437372207642,4.999999873689376e-05
17,0.11974883079528809,0.27533382177352905,0.2876845598220825,0.5069212317466736,4.999999873689376e-05
18,0.1139165610074997,0.26442086696624756,0.28173914551734924,0.5012362599372864,4.999999873689376e-05
19,0.11172439157962799,0.26187705993652344,0.2787216305732727,0.49834343791007996,4.999999873689376e-05
20,0.11407122761011124,0.26664793491363525,0.2735801637172699,0.49334895610809326,4.999999873689376e-05
21,0.11214736104011536,0.26395919919013977,0.26675888895988464,0.48662838339805603,4.999999873689376e-05
22,0.12132833153009415,0.27118146419525146,0.2591453790664673,0.4790797233581543,4.999999873689376e-05
23,0.1085413321852684,0.25902068614959717,0.25017648935317993,0.47011494636535645,4.999999873689376e-05
24,0.10825873166322708,0.2571902275085449,0.2448001652956009,0.46469590067863464,4.999999873689376e-05
25,0.10684901475906372,0.2541303336620331,0.2360164374113083,0.4558051526546478,4.999999873689376e-05
26,0.09970059990882874,0.24979421496391296,0.22488830983638763,0.44458305835723877,4.999999873689376e-05
27,0.10254338383674622,0.24780040979385376,0.20654815435409546,0.4253992736339569,4.999999873689376e-05
28,0.09914592653512955,0.2470737099647522,0.20083457231521606,0.41916149854660034,4.999999873689376e-05
29,0.09325184673070908,0.24052245914936066,0.19267261028289795,0.4100584387779236,4.999999873689376e-05
30,0.09381616115570068,0.24151402711868286,0.17931389808654785,0.39461275935173035,4.999999873689376e-05
31,0.09542222321033478,0.24224409461021423,0.16496385633945465,0.37716761231422424,4.999999873689376e-05
32,0.08892563730478287,0.23437270522117615,0.15704451501369476,0.3671509027481079,4.999999873689376e-05
33,0.09153376519680023,0.23303987085819244,0.147153839468956,0.35416072607040405,4.999999873689376e-05
34,0.09182213246822357,0.23691190779209137,0.13608956336975098,0.3389541506767273,4.999999873689376e-05
35,0.08952117711305618,0.2339012771844864,0.12611138820648193,0.3250269591808319,4.999999873689376e-05
36,0.07958315312862396,0.21661165356636047,0.11539208143949509,0.3100627064704895,4.999999873689376e-05
