,coef,std_err,t,pvalue
const,175.93023709133027,50.72429283261534,3.4683625392645876,0.0005587013584360347
VNINDEX.L1,0.8508227611658153,0.04290529848380924,19.83024920539551,1.315999049167218e-68
PC1.L1,1.4194815067599797,0.4414307214968496,3.215638236384303,0.0013669756328578487
PC2.L1,0.4440845186345693,0.12342777638404369,3.5979301551443896,0.0003454828246744005
PC3.L1,-0.8298894617033798,0.24108255701983325,-3.44234552662019,0.0006142120900304624
PC4.L1,-0.3740828853706313,0.186937963114623,-2.0011071006548757,0.045801980866761474
PC5.L1,-0.4037832939013456,0.25143351994720725,-1.6059246753818932,0.10878295370491585
PC6.L1,0.41610520128396755,0.23117834387551556,1.7999315779683542,0.07234152776987147
PC7.L1,0.5322221833151238,0.35724895658170236,1.4897795319197953,0.13677407325662502
PC8.L1,-1.8641282164579627,0.4533298484593965,-4.112079146769281,4.431436775998258e-05
PC9.L1,0.6361130287404324,0.4243004135777728,1.4992043570653628,0.1343129466347904
PC10.L1,0.6167741634671697,0.436746122140881,1.412202953156885,0.15837549515902616
PC11.L1,-0.677781509410525,0.4668492489992402,-1.4518209269125932,0.14704065933316804
