PC,Rank,Sector,SymbolCount,TotalAbsLoading,ContributionPct,DominantDirection
PC1,1,Unknown,20,1.395034691004652,100.0,Positive
PC2,1,Unknown,20,2.2632667387149787,100.0,Positive
PC3,1,Unknown,20,2.548611624333425,100.0,Positive
PC4,1,Unknown,20,2.680113464249798,100.0,Positive
PC5,1,Unknown,20,2.955783414896535,100.0,Positive
PC6,1,Unknown,20,2.89890827123796,100.0,Positive
