,PC1,PC2,PC3,PC4,PC5,PC6
PC1,1.0,0.0,0.0,-0.0,-0.0,-0.0
PC2,0.0,1.0,-0.0,0.0,-0.0,-0.0
PC3,0.0,-0.0,1.0,-0.0,-0.0,-0.0
PC4,-0.0,0.0,-0.0,1.0,0.0,0.0
PC5,-0.0,-0.0,-0.0,0.0,1.0,0.0
PC6,-0.0,-0.0,-0.0,0.0,0.0,1.0
