Date,Actual_VNINDEX,Predicted_VNINDEX,Residual,APE_%
2024-08-27,1280.56,1279.2811821220794,1.2788178779205737,0.09986395623091363
2024-08-28,1281.44,1279.7297628023284,1.7102371976716313,0.13346213616386918
2024-08-29,1281.47,1280.5761349333145,0.893865066685521,0.06975310125703651
2024-08-30,1283.87,1280.5328623075566,3.3371376924433207,0.25992800613904277
2024-09-04,1275.8,1282.973530997503,-7.173530997503121,0.5622770808470681
2024-09-05,1268.21,1275.1355072619049,-6.925507261904841,0.546085211585639
2024-09-06,1273.96,1267.8368613420646,6.123138657935442,0.4806382192445115
2024-09-09,1267.73,1273.3046117084502,-5.57461170845022,0.43973178108952593
2024-09-10,1255.23,1267.2688013741438,-12.038801374143759,0.959091272041606
2024-09-11,1253.27,1255.257788144798,-1.9877881447980599,0.15860813270741334
2024-09-12,1256.35,1253.3397309934319,3.0102690065680235,0.23960433052446084
2024-09-13,1251.71,1256.3007624948457,-4.590762494845649,0.3667592728993915
2024-09-16,1239.26,1251.9337620655613,-12.673762065561277,1.0226878996706914
2024-09-17,1258.95,1239.8719246051248,19.078075394875214,1.515395797666601
2024-09-18,1264.9,1258.884809265554,6.015190734446151,0.47554674159210975
2024-09-19,1271.27,1264.6044734425184,6.6655265574815985,0.5243202905306635
2024-09-20,1272.04,1270.8009743186444,1.2390256813555425,0.09740461631283624
2024-09-23,1268.48,1271.588450130788,-3.1084501307880146,0.24505314476881854
2024-09-24,1276.99,1268.1739275914979,8.816072408502123,0.6903791265736682
2024-09-25,1287.48,1276.4406453855045,11.03935461449555,0.857438920558751
2024-09-26,1291.49,1286.6457051688901,4.844294831109892,0.3750934835788417
2024-09-27,1290.92,1290.5812999227344,0.33870007726568474,0.026237108206787485
2024-09-30,1287.94,1289.9756587816446,-2.0356587816445426,0.1580554048813405
2024-10-01,1292.2,1287.1544742993244,5.045525700675626,0.39046012232135735
2024-10-02,1287.84,1291.2974550106674,-3.457455010667445,0.268469298254488
2024-10-03,1278.1,1286.9489334061766,-8.848933406176684,0.6923506303190243
2024-10-04,1270.6,1277.4790406157174,-6.879040615717486,0.5414009614090467
2024-10-07,1269.93,1270.241739452224,-0.3117394522239465,0.02454776658725219
2024-10-08,1271.98,1269.6615805803401,2.3184194196599037,0.18226854350238816
2024-10-09,1281.85,1271.705268953164,10.144731046835886,0.7914132735309707
2024-10-10,1286.36,1281.200724635999,5.159275364000905,0.40107554370166965
2024-10-11,1288.39,1285.432211100477,2.957788899523166,0.22957248189602597
2024-10-14,1286.34,1287.5238506593046,-1.1838506593046532,0.09203248435836948
2024-10-15,1281.08,1285.4948417192718,-4.4148417192718625,0.34461873725586234
2024-10-16,1279.48,1280.359300494822,-0.8793004948220187,0.06872326998586507
2024-10-17,1286.52,1278.825344215738,7.694655784262068,0.5980984193174034
2024-10-18,1285.46,1285.7801363327103,-0.32013633271026265,0.024904418084403423
2024-10-21,1279.77,1284.7051166410997,-4.935116641099739,0.38562527962533716
2024-10-22,1269.89,1279.1252809338912,-9.23528093389109,0.7272504653015903
2024-10-23,1270.9,1269.59620472333,1.3037952766701437,0.10258834500431858
2024-10-24,1257.41,1270.6655470346518,-13.255547034651727,1.0541944977808597
2024-10-25,1252.72,1257.6384462810406,-4.918446281040588,0.39262135840421847
2024-10-28,1254.77,1253.1381040319127,1.6318959680872922,0.13005538609261352
2024-10-29,1261.78,1255.2018769847646,6.5781230152354055,0.5213367635549203
2024-10-30,1258.63,1261.956045068955,-3.3260450689549543,0.264259160271766
2024-10-31,1264.48,1258.9857822509591,5.494217749040899,0.4345041241456922
2024-11-01,1254.89,1264.7186244017894,-9.828624401789284,0.7832259721338891
2024-11-04,1244.71,1255.482939337934,-10.772939337934076,0.8654979342856993
2024-11-05,1245.76,1245.6035707528001,0.15642924719986695,0.012556932892259445
2024-11-06,1261.28,1246.5777933529207,14.702206647079265,1.1656576372385752
2024-11-07,1259.75,1261.6564366774955,-1.9064366774955488,0.15133452490418065
