epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.8593701720237732,0.7011206746101379,0.573451817035675,0.7292996644973755,0.0003000000142492354
2,0.6495750546455383,0.585357129573822,0.5126015543937683,0.6862240433692932,0.0003000000142492354
3,0.4440816342830658,0.45282483100891113,0.36481720209121704,0.573905885219574,0.0003000000142492354
4,0.2898785173892975,0.3461224138736725,0.2579271197319031,0.4773259460926056,0.0003000000142492354
5,0.18435800075531006,0.2895728349685669,0.1509898453950882,0.3579593300819397,0.0003000000142492354
6,0.11326425522565842,0.2398746907711029,0.07064372301101685,0.23502685129642487,0.0003000000142492354
7,0.08422344923019409,0.21821655333042145,0.04433640092611313,0.17497673630714417,0.0003000000142492354
8,0.06596111506223679,0.19322726130485535,0.04387020319700241,0.17516876757144928,0.0003000000142492354
9,0.05613217502832413,0.17644326388835907,0.036807864904403687,0.15654022991657257,0.0003000000142492354
10,0.05401133745908737,0.17169803380966187,0.03687412664294243,0.15861979126930237,0.0003000000142492354
11,0.04874260351061821,0.16577686369419098,0.03373485058546066,0.1498507857322693,0.0003000000142492354
12,0.04596209526062012,0.1634165495634079,0.035966113209724426,0.15862062573432922,0.0003000000142492354
13,0.04443370923399925,0.1627175658941269,0.031519681215286255,0.1393464207649231,0.0003000000142492354
14,0.04632041975855827,0.16537131369113922,0.03322624787688255,0.15052029490470886,0.0003000000142492354
15,0.057348378002643585,0.18573755025863647,0.03417552635073662,0.15501375496387482,0.0003000000142492354
16,0.06339400261640549,0.1927456259727478,0.03288135305047035,0.13682813942432404,0.0003000000142492354
17,0.04957075044512749,0.16220560669898987,0.03132780268788338,0.13862469792366028,0.0003000000142492354
18,0.04369456321001053,0.15916594862937927,0.036036595702171326,0.13855530321598053,0.0003000000142492354
19,0.04033273831009865,0.15230856835842133,0.03393901512026787,0.1398731768131256,0.0003000000142492354
20,0.039101194590330124,0.15158642828464508,0.03612125664949417,0.14004547894001007,0.0003000000142492354
21,0.03720550239086151,0.14848054945468903,0.04107796400785446,0.14638732373714447,0.0003000000142492354
22,0.035868629813194275,0.14357507228851318,0.03755677118897438,0.1424964815378189,0.0003000000142492354
23,0.04567756876349449,0.15684595704078674,0.047900084406137466,0.15953262150287628,0.0003000000142492354
24,0.035816486924886703,0.1414470076560974,0.0475938618183136,0.15900816023349762,0.0003000000142492354
25,0.03704657778143883,0.14238454401493073,0.05328035354614258,0.16909359395503998,0.0003000000142492354
26,0.03744182363152504,0.14695103466510773,0.053605817258358,0.16950614750385284,0.0003000000142492354
27,0.033331528306007385,0.13620318472385406,0.047243256121873856,0.15890276432037354,0.0003000000142492354
28,0.03746001422405243,0.14389583468437195,0.06037025898694992,0.18250173330307007,0.0003000000142492354
29,0.036288220435380936,0.14536578953266144,0.04760105162858963,0.16006633639335632,0.0003000000142492354
30,0.03423111140727997,0.1412215530872345,0.06115751713514328,0.18452443182468414,0.0001500000071246177
