Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
20,16,28.57701224495994,20.661288196652432,1.7655747909883237,55.21428208901506,47.50861300336636,3.7495305910837966,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,10
20,32,45.443844502319905,29.162488654084903,2.409831829251421,54.39365710174237,47.09101741139481,3.716296184316549,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,9
30,16,43.28971696675879,27.653705118654273,2.308876242702201,56.58590350192772,49.981857096354155,3.9416172847582303,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,6
30,32,38.274118383158815,24.898602483093505,2.086071164294535,56.39363331983371,49.8587209016133,3.931831884033074,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,12
40,16,36.56583840197961,24.55844696044922,2.100526795434019,59.00155395974106,52.103685094321634,4.107707690741471,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,7
40,32,38.45317032081788,24.679871442241055,2.0983931901811927,55.41235442526714,48.263881558053846,3.8063099604790716,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,11
50,16,35.49399802527018,22.467973009902263,1.9306319733435304,54.8267153502972,47.84760853340954,3.771680021929999,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,8
50,32,42.83096737499153,26.223619339554403,2.2420101618976145,52.81652843473374,45.864774477578756,3.6184145696324244,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,9
60,16,33.70082687630521,22.16770452419249,1.9464422533688974,55.58553593205917,48.950563111343996,3.858204366168242,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,7
60,32,33.92823906763865,21.93974375492385,1.9241327842486444,55.57654316898527,49.166988138338404,3.877206370454321,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,12
