label,Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Best_Epoch,collapsed
no_dr,10,8,14.6529,10.9096,0.9409,24.2617,20.0734,1.6070,526,123,68,False
no_dr,10,16,13.8545,10.3515,0.8919,28.4855,24.7744,1.9710,526,123,93,False
no_dr,10,32,17.1916,13.2159,1.1313,24.6584,20.3854,1.6285,526,123,54,False
no_dr,20,8,15.9136,11.8949,1.0328,27.0752,21.9065,1.7465,516,123,43,False
no_dr,20,16,14.9176,11.1497,0.9663,32.4649,26.5328,2.1001,516,123,16,False
no_dr,20,32,15.0429,11.1692,0.9701,25.6565,20.6139,1.6485,516,123,93,False
no_dr,30,8,14.5879,10.9265,0.9474,38.8295,31.9020,2.5148,506,123,40,False
no_dr,30,16,14.9684,11.1871,0.9711,24.5014,18.7675,1.5027,506,123,70,False
no_dr,30,32,13.8352,10.3677,0.9026,39.7133,34.6428,2.7362,506,123,131,False
no_dr,45,8,14.4892,10.8143,0.9487,33.6101,26.2854,2.0992,491,123,29,False
no_dr,45,16,14.6353,10.8257,0.9512,48.0157,40.2819,3.1809,491,123,88,False
no_dr,45,32,18.6624,12.9795,1.1247,26.7809,22.0284,1.7491,491,123,46,False
no_dr,60,8,15.8327,11.6284,1.0295,35.3019,30.0011,2.3835,476,123,27,False
no_dr,60,16,15.0577,11.1522,0.9836,32.8232,28.6820,2.2848,476,123,18,False
no_dr,60,32,16.4268,12.5939,1.1000,22.0736,18.8218,1.4982,476,123,78,False
pca_cev_0.75,10,8,19.5731,15.0367,1.2790,17.8946,14.7963,1.1831,526,123,145,False
pca_cev_0.75,10,16,20.4664,15.5424,1.3358,18.3106,15.0173,1.2003,526,123,187,False
pca_cev_0.75,10,32,33.8143,25.8185,2.2092,24.8442,19.6869,1.5830,526,123,17,False
pca_cev_0.75,20,8,25.7456,19.5803,1.6877,31.3142,27.6294,2.1853,516,123,11,False
pca_cev_0.75,20,16,27.0656,20.5217,1.7714,21.6415,17.8716,1.4242,516,123,52,False
pca_cev_0.75,20,32,34.3674,26.3850,2.2656,25.1708,19.3682,1.5605,516,123,67,False
pca_cev_0.75,30,8,26.0534,19.6770,1.7069,34.7983,30.6211,2.4214,506,123,7,False
pca_cev_0.75,30,16,28.7390,21.6455,1.8805,33.9419,29.7879,2.3562,506,123,20,False
pca_cev_0.75,30,32,32.8071,24.9221,2.1533,27.3347,23.3108,1.8494,506,123,40,False
pca_cev_0.75,45,8,26.4021,19.8724,1.7317,43.1222,38.9556,3.0783,491,123,9,False
pca_cev_0.75,45,16,29.1765,21.5863,1.8790,43.9064,39.7795,3.1426,491,123,16,False
pca_cev_0.75,45,32,32.5509,24.3469,2.1028,33.6460,29.5585,2.3369,491,123,31,False
pca_cev_0.75,60,8,24.9810,18.8185,1.6502,44.1793,40.2810,3.1823,476,123,13,False
pca_cev_0.75,60,16,27.8828,20.6259,1.8095,44.0390,40.1097,3.1681,476,123,22,False
pca_cev_0.75,60,32,31.1913,22.3762,1.9596,36.1369,32.2173,2.5453,476,123,35,False
pca_cev_0.80,10,8,21.0200,16.1130,1.3954,19.4296,15.3461,1.2294,526,123,90,False
pca_cev_0.80,10,16,23.5452,17.9679,1.5586,23.7680,20.1292,1.5997,526,123,155,False
pca_cev_0.80,10,32,22.9001,17.2783,1.4926,21.6589,17.0013,1.3664,526,123,146,False
pca_cev_0.80,20,8,21.6531,16.6253,1.4391,21.4240,17.2240,1.3812,516,123,96,False
pca_cev_0.80,20,16,23.1074,17.6483,1.5381,22.0503,17.7048,1.4204,516,123,92,False
pca_cev_0.80,20,32,24.5553,18.7050,1.6322,22.6903,17.9167,1.4399,516,123,85,False
pca_cev_0.80,30,8,23.3059,18.1153,1.5567,20.4905,16.3520,1.3117,506,123,65,False
pca_cev_0.80,30,16,22.6925,17.1770,1.4977,21.6086,17.6896,1.4160,506,123,141,False
pca_cev_0.80,30,32,25.9193,19.5135,1.7064,30.1618,26.4283,2.0900,506,123,40,False
pca_cev_0.80,45,8,23.7102,18.1218,1.5918,25.4980,21.8194,1.7275,491,123,14,False
pca_cev_0.80,45,16,25.8253,19.5670,1.7157,26.3138,22.6479,1.7950,491,123,29,False
pca_cev_0.80,45,32,27.7487,20.5006,1.7895,27.0841,23.3796,1.8526,491,123,40,False
pca_cev_0.80,60,8,24.3555,18.7536,1.6391,26.8919,23.0440,1.8217,476,123,47,False
pca_cev_0.80,60,16,28.0304,20.4998,1.8025,30.3716,26.5580,2.0982,476,123,45,False
pca_cev_0.80,60,32,26.4257,19.8260,1.7413,37.8208,33.8031,2.6663,476,123,38,False
pca_cev_0.85,10,8,22.7800,17.2707,1.4771,25.3075,20.6444,1.6516,526,123,82,False
pca_cev_0.85,10,16,25.1517,19.3138,1.6671,29.9295,26.4068,2.0951,526,123,52,False
pca_cev_0.85,10,32,27.8368,21.4584,1.8634,26.6929,22.7563,1.8144,526,123,58,False
pca_cev_0.85,20,8,27.5903,20.2305,1.7576,25.5521,20.4690,1.6411,516,123,51,False
pca_cev_0.85,20,16,26.1671,19.1386,1.6661,25.6191,20.6121,1.6516,516,123,61,False
pca_cev_0.85,20,32,24.7998,18.3708,1.6104,25.7448,21.2949,1.6998,516,123,72,False
pca_cev_0.85,30,8,22.6352,17.1010,1.4865,27.1185,20.1027,1.6257,506,123,27,False
pca_cev_0.85,30,16,21.1727,16.0550,1.3969,25.9858,21.0400,1.6835,506,123,237,False
pca_cev_0.85,30,32,32.8938,24.5556,2.1489,81.7108,77.4018,6.1122,506,123,1,True
pca_cev_0.85,45,8,28.2671,21.8217,1.9493,25.2258,19.7653,1.5891,491,123,48,False
pca_cev_0.85,45,16,21.8483,16.3450,1.4365,25.7635,20.7413,1.6614,491,123,129,False
