label,Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Best_Epoch,collapsed
pca_cev_0.85,45,32,23.1946,17.1400,1.5104,26.3579,22.0327,1.7540,491,123,157,False
pca_cev_0.85,60,8,22.7954,17.2451,1.5173,25.7922,19.7384,1.5920,476,123,31,False
pca_cev_0.85,60,16,24.8200,18.3007,1.6174,25.2114,20.1783,1.6169,476,123,120,False
pca_cev_0.85,60,32,33.0946,23.7889,2.0955,82.8852,78.6720,6.2134,476,123,1,True
pca_cev_0.90,10,8,22.6772,17.0380,1.4718,28.9115,22.3788,1.8027,526,123,19,False
pca_cev_0.90,10,16,23.9405,18.0116,1.5539,25.1697,20.1793,1.6207,526,123,37,False
pca_cev_0.90,10,32,24.9950,18.6900,1.6157,24.1937,19.6364,1.5740,526,123,48,False
pca_cev_0.90,20,8,20.6922,15.4181,1.3447,36.7387,27.5482,2.2295,516,123,17,False
pca_cev_0.90,20,16,22.0493,16.5134,1.4429,34.5699,25.5217,2.0667,516,123,16,False
pca_cev_0.90,20,32,23.0224,17.3207,1.5103,28.3960,20.4501,1.6555,516,123,31,False
pca_cev_0.90,30,8,20.8750,15.4657,1.3520,46.4697,37.1615,2.9982,506,123,15,False
pca_cev_0.90,30,16,22.0183,16.5123,1.4463,32.9972,24.7159,1.9985,506,123,21,False
pca_cev_0.90,30,32,23.5048,17.4419,1.5202,27.6756,21.2730,1.7136,506,123,31,False
pca_cev_0.90,45,8,21.4630,15.9803,1.4062,44.0104,34.1333,2.7552,491,123,16,False
pca_cev_0.90,45,16,22.5405,16.7596,1.4739,31.8707,24.0691,1.9447,491,123,24,False
pca_cev_0.90,45,32,24.5318,18.0045,1.5715,27.4787,20.6293,1.6645,491,123,32,False
pca_cev_0.90,60,8,21.3825,15.8706,1.4036,39.9465,30.5250,2.4635,476,123,18,False
pca_cev_0.90,60,16,23.7822,18.0997,1.5825,28.3150,21.4129,1.7283,476,123,33,False
pca_cev_0.90,60,32,24.6044,17.6972,1.5548,25.2306,19.6854,1.5805,476,123,48,False
pca_cev_0.95,10,8,20.7537,15.7944,1.3387,23.4837,18.3813,1.4756,526,123,44,False
pca_cev_0.95,10,16,19.1464,14.5062,1.2431,23.2482,18.1641,1.4573,526,123,69,False
pca_cev_0.95,10,32,19.7670,14.7755,1.2761,23.6203,18.5044,1.4831,526,123,88,False
pca_cev_0.95,20,8,17.2907,13.4157,1.1575,31.8647,22.1838,1.7852,516,123,25,False
pca_cev_0.95,20,16,19.6173,14.6875,1.2799,33.0385,22.7057,1.8263,516,123,17,False
pca_cev_0.95,20,32,22.2102,17.0388,1.4813,30.2016,20.7908,1.6724,516,123,20,False
pca_cev_0.95,30,8,18.0976,13.6325,1.1844,38.9363,31.2383,2.5141,506,123,12,False
pca_cev_0.95,30,16,19.5365,14.6224,1.2758,33.5985,24.0782,1.9447,506,123,22,False
pca_cev_0.95,30,32,22.0337,16.7026,1.4540,30.4222,21.2308,1.7150,506,123,34,False
pca_cev_0.95,45,8,17.7942,13.4236,1.1814,47.7643,40.2743,3.2433,491,123,14,False
pca_cev_0.95,45,16,19.2658,14.4147,1.2696,34.6400,26.1847,2.1194,491,123,28,False
pca_cev_0.95,45,32,21.8135,16.3733,1.4398,29.7301,21.4194,1.7359,491,123,32,False
pca_cev_0.95,60,8,17.5373,13.3027,1.1715,40.2848,32.5567,2.6274,476,123,20,False
pca_cev_0.95,60,16,19.9037,14.6838,1.2943,25.6286,19.1327,1.5414,476,123,38,False
pca_cev_0.95,60,32,20.0926,14.8946,1.3130,25.3030,19.3700,1.5551,476,123,87,False
