,value
input_features,318.0
k_optimal,2.0
cev_threshold,0.75
cev_achieved,0.7847210865291396
dim_reduction_pct,99.37106918238993
pc1_var,0.5967381648555375
pc1_5_cum_var,0.8951299327813959
max_pc_cross_corr,9.576777931551537e-17
