model,representation,cev_requested,k,RMSE,MAE,MAPE(%),R2,N
Persistence,none,,,14.136804431021817,7.815928143712572,0.6314901425263058,0.8460061100957079,167
AR(1),none,,,14.089016418100684,7.885582014314065,0.6365642982676876,0.8470454713969678,167
PCA-ARDL,pca,0.75,2.0,14.064042923175654,7.7598898857763565,0.6273157245348977,0.8475872301156777,167
PCA-ARDL,pca,0.8,3.0,13.981532178804406,7.7353415037699955,0.6250479627702898,0.8493703307095446,167
PCA-ARDL,pca,0.85,4.0,13.971841960916167,7.708157461467158,0.623237530905239,0.8495790529698619,167
PCA-ARDL,pca,0.9,6.0,13.966609471060604,7.678076561115755,0.6210734080709129,0.849691697916837,167
PCA-ARDL,pca,0.95,11.0,14.056247848288631,7.756511476386058,0.6274407100965342,0.8477561345643523,167
