Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,22.780037886703447,17.270712361498934,1.4771456261782883,25.307489987134076,20.64442291507876,1.6516188719783558,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,82
10,16,25.151749380368795,19.313757820854626,1.667136710449589,29.929534574258554,26.406789094258123,2.095132167748023,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,52
10,32,27.83677403863195,21.45842857447867,1.8634339744491972,26.69292432076107,22.75626333841463,1.814359738336074,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,58
20,8,27.590333950066817,20.23053103424782,1.7576169595884206,25.552150101530128,20.46901148850355,1.6411069763611292,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,51
20,16,26.16712197845139,19.13863336607467,1.6661066338255297,25.6191428635986,20.612129501714932,1.651570280977488,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,61
20,32,24.799818084607804,18.370847243671278,1.6103640476518806,25.744839240040125,21.294895793635664,1.6997918818532223,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,72
30,8,22.63521911223516,17.101039976338626,1.4865195081483107,27.11849565795401,20.1026705808562,1.625741728522481,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,27
30,16,21.172747817505932,16.05499306659925,1.3969201116532253,25.985798212440894,21.03999102832824,1.6835467408306275,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,237
30,32,32.89376543083226,24.555623234081647,2.148938520251127,81.71085072186987,77.40177115091464,6.112229162215962,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,1
45,8,28.266154436977764,21.82098689496881,1.9492490941416825,25.225980435490143,19.765268157710867,1.58912592368557,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,48
45,16,21.84832495022547,16.344991507287425,1.436510220227659,25.763481718955884,20.741251945185464,1.6614300566807456,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,129
45,32,23.194568661280467,17.139971081020878,1.5104153960754998,26.357930365755344,22.032728340955273,1.7539521081579141,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,157
60,8,22.795398681204773,17.2451171875,1.517274868663363,25.792202944554923,19.738381923272353,1.5919500818862276,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,31
60,16,24.820019331306526,18.30071542948234,1.6174462711355406,25.211406982193605,20.17828073393038,1.6168556992556518,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,120
60,32,33.09460562124967,23.78887547084263,2.0955358874262675,82.88516430052628,78.67195403804624,6.213423066918114,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,1
