Date,Actual_VNINDEX,Predicted_VNINDEX,Residual,APE_%
2024-08-27,1280.56,1277.135921722444,3.4240782775559637,0.2673891326864204
2024-08-28,1281.44,1292.1681203104479,-10.72812031044782,0.8371925576198732
2024-08-29,1281.47,1296.5052942300533,-15.035294230053296,1.1732849173165167
2024-08-30,1283.87,1281.8700149476651,1.9999850523347504,0.15577784762625288
2024-09-04,1275.8,1294.8576188049722,-19.057618804972208,1.4937779279528791
2024-09-05,1268.21,1264.3703972666226,3.8396027333774327,0.3027576452911708
2024-09-06,1273.96,1263.5945489306034,10.365451069396613,0.8136402296237912
2024-09-09,1267.73,1270.1303781314973,-2.400378131497291,0.18934458689771141
2024-09-10,1255.23,1261.035806441723,-5.805806441723007,0.4625292927731774
2024-09-11,1253.27,1241.6857263567226,11.584273643277356,0.9243238602364156
2024-09-12,1256.35,1242.353059867166,13.99694013283397,1.114095604944686
2024-09-13,1251.71,1235.866778672827,15.843221327173069,1.2657261927320622
2024-09-16,1239.26,1263.8224056405345,-24.562405640534507,1.9820219841144158
2024-09-17,1258.95,1265.5782435393546,-6.628243539354571,0.526489816061156
2024-09-18,1264.9,1274.7731963440133,-9.873196344013195,0.780551533238607
2024-09-19,1271.27,1280.539522463923,-9.269522463923067,0.7291545040668114
2024-09-20,1272.04,1275.8985368672675,-3.858536867267503,0.30333455451378655
2024-09-23,1268.48,1259.7574026921907,8.722597307809338,0.6876416898761174
2024-09-24,1276.99,1255.2164502585636,21.773549741436454,1.7050681478528376
2024-09-25,1287.48,1263.377553665757,24.10244633424304,1.8720637473246835
2024-09-26,1291.49,1267.3597030557555,24.130296944244492,1.868407571414231
2024-09-27,1290.92,1267.160756417739,23.75924358226098,1.840489231096964
2024-09-30,1287.94,1259.6478825993893,28.292117400610778,2.1966952963951045
2024-10-01,1292.2,1263.7236288323704,28.476371167629623,2.2037123639846197
2024-10-02,1287.84,1277.8120986935298,10.027901306470085,0.7786604940359222
2024-10-03,1278.1,1281.7989441416075,-3.698944141607626,0.28940960344094246
2024-10-04,1270.6,1251.1490954820515,19.450904517948402,1.5308440514556367
2024-10-07,1269.93,1245.5173479404643,24.41265205953573,1.9223620246268294
2024-10-08,1271.98,1259.268091128428,12.71190887157195,0.9993796185059525
2024-10-09,1281.85,1251.4108525831653,30.439147416834658,2.3746263148260094
2024-10-10,1286.36,1249.14675481554,37.21324518445999,2.8929106303189394
2024-10-11,1288.39,1262.7839314573937,25.60606854260641,1.9874470107970152
2024-10-14,1286.34,1269.3713597827395,16.968640217260372,1.319141145974506
2024-10-15,1281.08,1282.2182426397712,-1.1382426397713061,0.08885023884241587
2024-10-16,1279.48,1284.2933887366457,-4.81338873664572,0.3761988258204974
2024-10-17,1286.52,1277.8150474832933,8.704952516706726,0.6766278422907582
2024-10-18,1285.46,1291.3293426542848,-5.869342654284765,0.45659473295467035
2024-10-21,1279.77,1279.4988604234738,0.2711395765261386,0.02118658638067934
2024-10-22,1269.89,1268.0029569074036,1.8870430925965138,0.14859894105644222
2024-10-23,1270.9,1264.9664034668792,5.933596533120863,0.4668814645585156
2024-10-24,1257.41,1274.1080546096596,-16.698054609659494,1.3279721498577788
2024-10-25,1252.72,1278.8729720990104,-26.152972099010412,2.087694943706626
2024-10-28,1254.77,1301.764766853949,-46.99476685394893,3.745289324224711
2024-10-29,1261.78,1313.6009738664795,-51.82097386647956,4.106973788304527
2024-10-30,1258.63,1286.0126548107087,-27.382654810708573,2.1755920970015823
2024-10-31,1264.48,1307.1321259074166,-42.652125907416576,3.373096127030817
2024-11-01,1254.89,1313.13929105919,-58.24929105919,4.641784623251905
2024-11-04,1244.71,1305.6765766494345,-60.9665766494345,4.898054699403452
2024-11-05,1245.76,1290.8833892649586,-45.12338926495863,3.6221574994056973
2024-11-06,1261.28,1301.3535255217384,-40.073525521738475,3.1772108906365566
2024-11-07,1259.75,1312.2508702571356,-52.5008702571356,4.167562632007847
2024-11-08,1252.56,1299.5867406831023,-47.02674068310239,3.754450140729941
2024-11-11,1250.32,1317.9389515152295,-67.61895151522958,5.408131639475396
2024-11-12,1244.82,1322.7127085882275,-77.8927085882276,6.257347133529496
2024-11-13,1246.04,1329.7696854142876,-83.72968541428759,6.719662724600786
2024-11-14,1231.89,1330.3462598630927,-98.45625986309255,7.992293131878116
2024-11-15,1218.57,1341.6495939350043,-123.07959393500437,10.100330217713742
2024-11-18,1217.12,1351.577346591131,-134.457346591131,11.04717255406421
2024-11-19,1205.15,1326.4227169056242,-121.27271690562407,10.062873244377695
2024-11-20,1216.54,1316.449683754357,-99.90968375435705,8.212609840493187
2024-11-21,1228.33,1272.5927789590264,-44.26277895902649,3.6034924620147804
2024-11-22,1228.1,1272.8743989509273,-44.774398950927434,3.645826801609222
2024-11-25,1234.7,1292.05220215212,-57.352202152119844,4.645031355928999
2024-11-26,1242.13,1292.6291260093044,-50.49912600930429,4.0655266364146865
2024-11-27,1241.97,1276.1396011424463,-34.169601142446254,2.7512420704341594
2024-11-28,1242.11,1274.8217610424333,-32.71176104243341,2.633563938956297
2024-11-29,1250.46,1293.4602884570781,-43.00028845707811,3.4387576137368843
2024-12-02,1251.21,1288.4020969250932,-37.19209692509321,2.9724903832926497
2024-12-03,1249.83,1276.958404293886,-27.12840429388598,2.170567540679046
2024-12-04,1240.41,1281.3089067122232,-40.89890671222315,3.29720872226872
2024-12-05,1267.53,1316.466270810462,-48.93627081046202,3.860758389156545
2024-12-06,1270.14,1315.5045055677974,-45.36450556779732,3.571614591103356
2024-12-09,1273.84,1326.7788092977664,-52.93880929776651,4.155844477905462
2024-12-10,1272.07,1301.9311756390464,-29.86117563904645,2.347447517731863
2024-12-11,1268.86,1298.676857466819,-29.8168574668191,2.3498934056226943
2024-12-12,1267.35,1295.4282553274088,-28.078255327408897,2.21550915904741
2024-12-13,1262.57,1308.6895291461478,-46.1195291461479,3.6528294784275426
2024-12-16,1263.79,1310.9433732316206,-47.15337323162066,3.7311082720426305
2024-12-17,1261.72,1323.4950918093186,-61.77509180931861,4.896101497069793
2024-12-18,1266.0,1327.2382710150796,-61.23827101507959,4.837146209683719
2024-12-19,1254.67,1305.7579998709748,-51.08799987097473,4.071827641576474
2024-12-20,1257.5,1291.00452692422,-33.504526924220045,2.664375898525138
2024-12-23,1262.76,1269.885638229359,-7.125638229359083,0.5642907780815559
2024-12-24,1260.36,1273.1622668225893,-12.802266822589445,1.0157627045040998
2024-12-25,1274.04,1265.6167777941407,8.423222205859247,0.6611426804333563
2024-12-26,1272.87,1255.2223511166537,17.647648883346164,1.386445503720531
2024-12-27,1275.14,1272.6570730567082,2.4829269432918863,0.1947179873011916
2024-12-30,1272.02,1265.55227891277,6.467721087230075,0.5084606442649667
2024-12-31,1266.78,1269.7001842088587,-2.9201842088587,0.2305202330977477
2025-01-02,1269.71,1250.2392102163126,19.47078978368745,1.5334832192811039
2025-01-03,1254.59,1249.138089126355,5.45191087364492,0.43455717593807264
2025-01-06,1246.35,1240.2834362204067,6.0665637795932525,0.4867464018569887
2025-01-07,1246.95,1243.5809719357233,3.3690280642767902,0.27018148797063013
2025-01-08,1251.02,1258.2652879916554,-7.245287991655459,0.5791504525585158
2025-01-09,1245.77,1236.3707297297885,9.399270270211446,0.7544948321227832
2025-01-10,1230.48,1222.1152274056915,8.364772594308533,0.6797975257005847
2025-01-13,1235.65,1203.3091972473812,32.340802752618856,2.6173109498933456
2025-01-14,1229.07,1212.0418441410673,17.028155858932678,1.3854504510560128
2025-01-15,1236.18,1203.4412740224884,32.73872597751165,2.6483785514445155
2025-01-16,1242.36,1199.7352558056102,42.62474419438968,3.4309494988607643
2025-01-17,1249.11,1205.8476572120321,43.26234278796778,3.4634534018318197
2025-01-20,1249.55,1231.6918706895588,17.8581293104412,1.4291648441677633
2025-01-21,1246.09,1252.8651276258176,-6.775127625817731,0.5437109378747411
2025-01-22,1242.53,1241.5079248665384,1.0220751334616125,0.0822575819862206
2025-01-23,1259.63,1185.172142010586,74.45785798941415,5.911089604790537
2025-01-24,1265.05,1237.6408034206006,27.40919657939935,2.166649269134239
2025-02-03,1253.03,1247.4292534140607,5.600746585939305,0.44697625642599204
2025-02-04,1264.68,1254.041797938747,10.638202061252969,0.841177377768989
2025-02-05,1269.61,1243.05266095866,26.5573390413399,2.0917714133577023
2025-02-06,1271.48,1229.5066939701467,41.97330602985335,3.301137731582348
2025-02-07,1275.2,1276.4779806148672,-1.2779806148671469,0.10021805323534544
2025-02-10,1263.26,1255.2892387140678,7.970761285932213,0.6309675985837528
2025-02-11,1268.45,1235.8843374351982,32.56566256480187,2.5673587894316006
2025-02-12,1266.91,1206.0400299234766,60.86997007652349,4.804600964239214
2025-02-13,1270.35,1218.9410233365181,51.40897666348178,4.046835648685567
2025-02-14,1276.08,1205.1536733547387,70.92632664526127,5.558141076163365
2025-02-17,1272.72,1212.1013238808587,60.618676119141355,4.7629231974562405
2025-02-18,1278.14,1208.6362491587463,69.5037508412538,5.437882457376345
2025-02-19,1288.56,1189.669008552799,98.89099144720103,7.674535252253182
2025-02-20,1292.98,1169.5816750075276,123.39832499247245,9.543714905993758
2025-02-21,1296.75,1172.1371461402928,124.61285385970723,9.609628213514268
2025-02-24,1304.56,1180.9244870170037,123.63551298299626,9.4771810405078
2025-02-25,1303.16,1206.7821743848144,96.37782561518566,7.395701649409596
2025-02-26,1302.96,1226.6512857524892,76.3087142475108,5.856566145309538
2025-02-27,1307.8,1216.143357358833,91.65664264116685,7.008460211077078
2025-02-28,1305.36,1194.3234940174043,111.0365059825956,8.506197982299518
2025-03-03,1309.37,1189.9000517020686,119.4699482979313,9.124231370584242
2025-03-04,1311.91,1196.3980486946714,115.5119513053287,8.804868573640585
2025-03-05,1304.71,1191.9458856049794,112.76411439502067,8.642848939163216
2025-03-06,1318.22,1172.8759657452995,145.34403425470055,11.02577978285855
2025-03-07,1326.05,1168.185652261247,157.86434773875294,11.90485635817371
2025-03-10,1330.28,1166.8392868812505,163.4407131187495,12.286188856294983
2025-03-11,1332.54,1163.8353687458516,168.70463125414835,12.660380270226959
2025-03-12,1334.41,1172.3708061874504,162.03919381254968,12.143133955181344
2025-03-13,1326.27,1158.8803631606575,167.38963683934253,12.621082949782506
2025-03-14,1326.15,1157.6208260453354,168.52917395466466,12.708153221987997
2025-03-17,1336.26,1185.797552522284,150.46244747771607,11.259967931135414
2025-03-18,1330.97,1179.2500428243907,151.71995717560935,11.39920187340582
2025-03-19,1324.63,1182.8554714823695,141.77452851763064,10.702953165530023
2025-03-20,1323.93,1183.4752873314928,140.45471266850723,10.608922878660227
2025-03-21,1321.88,1181.4265018170963,140.4534981829038,10.625283549326811
2025-03-24,1330.32,1183.8138133690659,146.50618663093405,11.01285304511943
2025-03-25,1331.92,1193.9714735959274,137.9485264040727,10.35711802533463
2025-03-26,1326.09,1184.3334424102186,141.75655758978132,10.689814234984983
2025-03-27,1323.81,1191.197762062274,132.61223793772592,10.017467607641898
