Ngày,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
2022-01-04,27.28191632207419,1.7688359102798483,-6.596815525400556,-3.6777252573745027,1.2630122467245015,-1.0492180046451267,1.8233408517805265,-2.1984132572916764,-1.0802477733842175,-0.5430444943287367,0.17362999833511306
2022-01-05,27.473639756049934,1.8682865358978944,-6.566429187770314,-3.778397085494131,1.4687119043479853,-1.1713444691990011,1.8748136355844205,-1.8668076967990799,-1.0210287178486386,-0.3476145615483093,0.22575328141792772
2022-01-06,27.590390176723552,1.6100421110559964,-6.8752706603659455,-3.960997503002072,1.7383361837241438,-1.2218239723670843,1.9245126667030865,-2.3098890137244337,-1.037798851601221,-0.34094330311007887,-0.050212650951572346
2022-01-07,27.684072473076565,1.4809196072465198,-6.868172102764552,-4.206186608714385,2.061747086153516,-1.2461792163933474,1.9886911323792718,-2.0314179459835664,-1.1175654769943402,-0.15419499752088778,0.13851792665009133
2022-01-10,27.12242001757155,1.0145187349409506,-7.112183898432288,-4.215807761853808,1.7989320382488154,-1.4306446810201865,2.7108016523632585,-2.27411192369397,-0.9187357041230774,-0.5268898562802651,0.1258212566850525
2022-01-11,26.789178169407272,0.6685291879703144,-7.141686850813885,-4.489322396060688,1.9263031676452522,-1.4585349391266043,2.9308590931533005,-2.1888533451279906,-0.6722176723357256,-0.5736274918861299,0.4745096273915801
2022-01-12,26.975133638130774,0.7989570798145383,-7.408245106576578,-4.78240707221908,1.7490694836640015,-1.212972347433102,2.5858605587616013,-2.6915490091904335,-0.583403530727088,-0.1807445205976389,0.6826650011475417
2022-01-13,26.355398727242218,0.667355636569854,-7.030508699797435,-4.652874547763404,1.5251709655147647,-1.3515832986539649,3.2832919915746634,-2.4647402210768514,0.009991818276813946,0.153476543685723,0.7962158174413054
2022-01-14,26.333715885521777,0.7218229430248418,-7.215139651140609,-4.706508093285551,1.3862452638747964,-1.1239627444504068,3.293969788849694,-3.0705148083520197,-0.21583566693446943,-0.017649839021590674,0.8319392438589989
2022-01-17,24.74365011659355,-0.26291542280230806,-6.941014885181796,-4.719706270116311,1.0725667171149296,-1.7905874996887554,4.494080963735347,-3.5139043343619445,0.15015979000798563,-0.27829284638611984,1.2544432045652
2022-01-18,23.79980221445271,-0.7608228600518935,-6.76584434016385,-4.405928993547043,0.7645709325011606,-2.126001797705726,4.810353998438904,-3.625967502638102,0.4988961466617149,0.19704367722416583,1.6147433154067798
2022-01-19,24.06797284126758,-0.6652820702075254,-6.558657788986693,-4.3285252136292796,0.8099456122632788,-1.9400846913282344,4.72684393904495,-3.427745282417539,0.3088684283500529,0.48853396086773393,1.704990523803362
2022-01-20,25.083341813719414,-0.09908459962989591,-6.800948961103337,-4.412634243963385,1.1012994391252302,-1.5568558931062277,4.0026788201181525,-3.493742462400945,-0.06427056264942221,0.5537789524338662,1.3883075662097681
2022-01-21,25.12766117121522,0.01237007044994265,-7.071528005549628,-4.248516786828596,1.085814754401322,-1.3215608639534149,3.753319197535489,-3.4501748077190277,0.20257847752021796,0.5910185752538266,1.260534120021421
