Seed,N_Test,RMSE,MAE,MAPE(%),R2
42,167,26.243996083006845,16.938498725205836,1.3547779032100595,0.4692855433201625
52,167,25.527353970557897,16.165598977825592,1.295246020723978,0.49787413784508006
62,167,25.772628041282108,15.68755929547155,1.260872875062656,0.4881786460928491
72,167,25.34058484991253,16.992961148016462,1.3560472986849272,0.5051947972849967
82,167,26.063953235278863,17.638440072979037,1.409734374791177,0.4765423333501154
