Ngày,PC1,PC2,PC3,PC4,PC5,PC6
2022-01-04,27.28191632207416,1.7688359102801208,-6.596815525395124,-3.677725258100577,1.2630121872102547,-1.0492183311701444
2022-01-05,27.473639756049906,1.86828653589817,-6.566429187765479,-3.7783970860941034,1.4687118526052794,-1.1713447295017263
2022-01-06,27.590390176723524,1.6100421110562682,-6.875270660360123,-3.9609975037459346,1.7383361224566283,-1.2218242932352994
2022-01-07,27.684072473076544,1.4809196072467938,-6.868172102759507,-4.206186609344723,2.061747033686429,-1.2461794826724155
2022-01-10,27.122420017571525,1.0145187349412126,-7.112183898427274,-4.215807762488398,1.7989319859582689,-1.4306449502874345
2022-01-11,26.789178169407254,0.6685291879705708,-7.1416868508081865,-4.4893223968081735,1.9263031085193687,-1.4585352586811724
2022-01-12,26.975133638130757,0.7989570798147935,-7.408245106572069,-4.782407072820927,1.7490694360001944,-1.2129726078160399
2022-01-13,26.355398727242196,0.6673556365701085,-7.030508699795406,-4.652874548007869,1.5251709444753354,-1.35158339776571
2022-01-14,26.333715885521762,0.7218229430250914,-7.2151396511377435,-4.706508093644155,1.3862452355830905,-1.123962891129698
2022-01-17,24.743650116593535,-0.26291542280207525,-6.941014885181113,-4.7197062701810495,1.0725667118342816,-1.7905875191390153
2022-01-18,23.799802214452725,-0.7608228600516704,-6.765844340164744,-4.40592899340108,0.7645709433823711,-2.126001725547561
2022-01-19,24.067972841267583,-0.6652820702072952,-6.558657788988207,-4.328525213405618,0.8099456280623786,-1.9400845886566485
2022-01-20,25.083341813719404,-0.09908459962965543,-6.800948961103568,-4.412634243914104,1.1012994427435063,-1.5568558658495988
2022-01-21,25.127661171215216,0.012370070450178905,-7.071528005549588,-4.2485167868190175,1.0858147570902856,-1.3215608514705868
2022-01-24,23.322265026267957,-0.7745863015003549,-6.93768219824485,-4.0198127485262845,0.7682614981104423,-1.716195793801445
2022-01-25,23.856919271904157,-0.6730090057140334,-6.999357725987565,-4.0828669607134955,0.8695250775211373,-1.2388318992620824
2022-01-26,23.824767696669504,-0.6901650169021951,-7.027405445761177,-4.192457637837913,0.6408677967027083,-0.8322827236243501
2022-01-27,23.544356518211934,-0.9245707682238239,-6.863953307654275,-4.192628763438487,0.5774993303886158,-0.7721388362598532
2022-01-28,24.018626154876554,-0.5143107321736211,-6.804759971506588,-3.9746224677424107,0.7325410682667541,-0.5543601090295086
2022-02-07,25.223201988525467,-0.019197548028236477,-6.595544137477738,-3.7413262956279913,1.0196874970533565,-0.23791148687841862
2022-02-08,25.63349403079937,0.2729243221483567,-6.570558433207568,-3.594875793205789,0.7747719273149769,0.15643009462954266
2022-02-09,26.101412053203262,0.5599019576886479,-6.740462455794547,-3.601591789400327,0.7584938585562122,0.4880247908210025
2022-02-10,26.294658442799626,0.5836124801933661,-6.667904561934649,-3.7119060715275074,0.6886433891320131,0.4244160613211247
2022-02-11,26.340933692342333,0.720016016719599,-6.461068221557749,-3.8633855563738972,0.6088718675985338,0.3184762149737426
2022-02-14,25.951978768236884,0.27952233847370256,-6.064842308199627,-3.3525623879349506,0.27168843586620156,-0.11353426222577229
2022-02-15,26.24893621725986,0.1746181182197329,-6.285535378241912,-3.3435628741020937,0.6461834229344565,0.213989424990405
2022-02-16,26.67382298826545,0.3518201590104943,-6.239632604057515,-3.2736006483888627,0.9067175378673609,0.3365309504176983
2022-02-17,26.95726952926143,0.4144120017441359,-6.287774390803044,-3.52347005286659,1.0408139711589772,0.7082633011393598
2022-02-18,27.216044910289185,0.739702515072526,-6.143584533732865,-3.2166999330385853,1.0131695130525664,0.42726473083527194
2022-02-21,27.52261565653815,1.0305585093407432,-6.426422953231707,-3.0095599941492845,1.0989314160219645,0.4838541784588431
2022-02-22,27.375573528721702,0.9189115075798843,-6.342692624514724,-3.2097160313312703,0.8732902481415302,0.6236173018577982
2022-02-23,27.8127908093783,1.2727091066364444,-6.208743030632769,-2.957988550658807,0.9386807780312464,0.6155136078249259
2022-02-24,27.103364614645734,1.1040928499047609,-5.741787943134246,-2.8996141597809517,0.7169961687026674,0.049797998756276565
2022-02-25,27.571013701736284,1.2773391869624466,-5.892983810301465,-3.0272871996458117,0.8575628821850946,0.22089050093003376
2022-02-28,27.684312051786954,1.1070467318505144,-5.7029762671794995,-3.1076187067430023,0.9285530344389368,0.050278038895229665
2022-03-01,27.87331383933558,1.238327341940052,-5.790489020739209,-2.986289590311804,1.0285866000973067,0.1319468272668612
2022-03-02,27.61928551303776,1.0479031069539113,-5.534255950124781,-2.8767913655606714,1.0011154317095738,-0.39825236557127575
2022-03-03,28.489068080614587,1.8245533389896644,-5.562143792890756,-2.9344027347931974,0.9527238889521462,0.049475762585278915
2022-03-04,28.691249787581206,1.8159525137714723,-5.519891632329635,-2.8999770360800863,0.8686300680187554,0.28727668759070063
2022-03-07,29.091737033867112,1.95744143518215,-5.3187244952297235,-2.954794652177658,0.7412955962560634,0.3897257273151301
2022-03-08,28.417139016838227,1.3366247664309094,-5.378781539737501,-2.9094091630805923,0.5977238059520317,0.20889535589795255
2022-03-09,28.57833592476731,1.8028594779882037,-4.967943794093126,-2.9828206193211684,0.4042555510366732,0.3148687957968627
2022-03-10,28.838028197671605,1.9264327113512465,-5.191413308920948,-2.8023490682071692,0.39788677064750766,0.6377815419495998
2022-03-11,28.61075464112602,1.789098830272275,-5.276340066025818,-3.0026035965712747,0.4388900344591786,0.6642921709322522
2022-03-14,27.949104705115673,1.129585551243964,-5.3176861571477225,-2.893094628015259,0.46670164372869616,0.5558706712888016
2022-03-15,28.120400488962098,1.011650552556005,-5.403646516730364,-2.9514037395081467,0.5199950095165579,0.5357339749557851
2022-03-16,28.35151855288878,1.2421779145986673,-5.405359799845181,-2.9848150383927745,0.4371006767842105,0.6864455488966408
2022-03-17,28.3728793387443,1.5229679212824458,-5.34184634475451,-2.944289903042192,0.3651170020279989,0.9891646181604424
2022-03-18,28.454809964243182,1.6213134304342247,-5.360455129818295,-2.922151553568563,0.23005094210471388,0.9732560369866852
2022-03-21,28.723874574208367,1.406325386829315,-5.3244433256234105,-2.7519450684241598,0.41322425540856006,0.8327154744997471
2022-03-22,28.699685710793528,1.450170033665667,-5.1468602544363495,-2.7403628643081834,0.26165539956618034,0.8113565683860742
2022-03-23,28.830568875920616,1.5739245921737623,-4.727425677260602,-2.3206073764691326,-0.07484777522130198,1.0035237636680143
2022-03-24,29.058884650528345,1.796515300159033,-4.523323936295534,-1.9978580720881072,-0.16060253728043866,1.071670064784037
2022-03-25,29.203973360709625,1.838428513356727,-4.219912711777556,-1.8407768300805112,-0.270276114191789,0.946329853224121
2022-03-28,29.001841745019636,1.5645589881251887,-3.584977474494213,-1.5274121037386168,-0.7792721011865652,0.5237598811988997
2022-03-29,29.48958435088293,2.146006194789231,-3.5683601679237795,-1.606025522500252,-0.7347459815429691,0.9093400132348397
2022-03-30,28.990533318175835,1.9630563659103824,-3.322303157634968,-1.1149181481461528,-0.9093300747866344,1.1828352803225939
2022-03-31,28.90506336466339,1.8681763511638219,-3.3322471718135898,-1.1185570084613723,-0.7772484381779909,1.6686546771163002
2022-04-01,29.245091256519018,2.1597376131120023,-3.1804645244725784,-1.141908305233804,-0.9103096366712101,1.6517728896166588
2022-04-04,29.38207248608221,2.472487832015587,-3.0435279880938735,-1.1462352064298214,-0.7162281205647809,1.7405208530204543
2022-04-05,29.24531381612327,2.1104515122895657,-2.704667530320644,-0.9115860613028751,-0.7730069829691615,1.5529353274234248
2022-04-06,29.02247967593958,1.8781041528859295,-2.6586032361132483,-0.6595743701313534,-1.0380633411964304,1.7789933254967374
2022-04-07,28.45909144280355,1.3858017865117178,-2.4522986230554435,-0.5719207485614766,-1.3651343664736377,1.622861426685266
2022-04-08,27.371559357962454,0.6228219704486744,-2.5125190302456497,-0.20732952960863416,-1.7349290969443758,0.9511857920877516
2022-04-12,26.114119335896543,-0.7072492756759035,-2.303527694929271,-0.3577573699014942,-2.353658764350083,0.21336814952095762
2022-04-13,27.051713598482323,-0.11569220667325708,-2.0516629426385693,-0.2829169795652525,-2.530898219121147,0.6560216864724823
2022-04-14,26.99275467093444,0.0537682088699597,-1.5315346250981445,-0.4065690047311629,-2.730559293780398,0.8884174223386105
2022-04-15,26.36594918235486,-0.512778960905561,-0.7576428748024622,0.5535544460547839,-3.080845509487504,1.0665971369923086
2022-04-18,25.289399258501017,-1.406032893142301,0.28449479134924405,1.0504482219559494,-3.5546498957626103,1.325875322244598
2022-04-19,23.700865881582345,-2.1958309168393613,1.08082917389134,1.3502360538074716,-4.028219195525519,0.9513593673685368
2022-04-20,21.957824832543057,-2.980281546894658,1.4715284446807255,1.613888172884776,-4.005556895609268,0.6743153910920376
2022-04-21,20.48255778103027,-3.61432356484148,1.9243093641941422,1.54893019620009,-4.274172902601271,0.10792980529710522
2022-04-22,20.10844835697119,-4.02814857586006,1.2075091152747648,1.4038544225382132,-4.007526111035886,-0.7023063647343458
2022-04-25,16.377912081802208,-5.721525816141428,1.5901673712106286,0.8413839330011283,-4.291156757116968,-2.4120899537801352
2022-04-26,17.820916002376414,-5.3046574810020495,1.2037919987434356,0.58313975520417,-3.9469711270204524,-1.8796966758698526
2022-04-27,18.722012032072712,-4.882213078454958,1.1540743363371533,0.7147894672815026,-3.954110960225923,-1.8766124272897653
2022-04-28,18.960085396891525,-4.971987959081726,1.3727451598622893,1.1678996042752032,-3.92951140491827,-1.7553739824633174
2022-04-29,20.166670534290276,-4.831408051815429,1.280167922366464,1.6439753522031888,-4.098220677768058,-1.3802537474432792
2022-05-04,19.63788315049126,-5.24018138259085,1.5817193202791593,2.117928139774492,-4.492153916786323,-1.2550306954617587
2022-05-05,19.562525188598798,-5.520717142010748,1.7351236710564064,1.891302408409631,-4.638505035632047,-1.0864505284940165
2022-05-06,17.600327582182494,-6.52136759904894,2.5959469381791767,2.0857794675220505,-4.884615347788225,-1.9315923649605864
2022-05-09,13.769915529168534,-8.259846862446715,3.1134696682925007,1.385763047255468,-5.1830035386035425,-3.437485776665943
2022-05-10,14.186241164756744,-7.824802844265703,3.1610289958555065,1.5860090212585942,-5.218049945163397,-2.8131961351590076
