PC,eigenvalue,explained_variance_ratio,explained_variance_pct,cumulative_variance_pct
PC1,189.76273642406105,0.5967381648555379,59.673816485553786,59.673816485553786
PC2,59.77856909220534,0.1879829216736017,18.79829216736017,78.47210865291396
PC3,17.19738832022149,0.054079837484973234,5.407983748497323,83.88009240141129
PC4,11.329859508047782,0.03562848901901818,3.5628489019018184,87.4429413033131
PC5,6.582765279948321,0.02070051974826516,2.070051974826516,89.51299327813962
PC6,5.188212481106239,0.0163151335883844,1.6315133588384398,91.14450663697806
PC7,3.5760417750949425,0.011245414387091014,1.1245414387091015,92.26904807568717
PC8,3.1428760513002834,0.009883258022956866,0.9883258022956867,93.25737387798286
PC9,2.4358181523275046,0.007659805510463851,0.7659805510463852,94.02335442902924
PC10,1.8890217723269387,0.005940320038763958,0.5940320038763958,94.61738643290563
PC11,1.812291480332828,0.005699029812367384,0.5699029812367384,95.18728941414237
