PC,Symbol,Loading,AbsLoading,Direction,Sector
PC5,ITD,-0.12866849920837642,0.12866849920837642,Negative,Unknown
PC5,SKG,0.1251738412333565,0.1251738412333565,Positive,Unknown
PC5,VPI,0.1231156420042201,0.1231156420042201,Positive,Unknown
PC5,HAX,0.12221055441119506,0.12221055441119506,Positive,Unknown
PC5,NCT,0.12010092320099697,0.12010092320099697,Positive,Unknown
PC5,CTF,-0.11726168518393251,0.11726168518393251,Negative,Unknown
PC5,SAB,0.11569373618375431,0.11569373618375431,Positive,Unknown
PC5,HAH,-0.11084642568734072,0.11084642568734072,Negative,Unknown
PC5,DBT,0.10557599324595228,0.10557599324595228,Positive,Unknown
PC5,SBA,0.10463755241106824,0.10463755241106824,Positive,Unknown
PC6,PNJ,0.18022756149048336,0.18022756149048336,Positive,Unknown
PC6,DSN,0.1676067712459649,0.1676067712459649,Positive,Unknown
PC6,OPC,0.1668077701340927,0.1668077701340927,Positive,Unknown
PC6,BIC,0.1630992206473627,0.1630992206473627,Positive,Unknown
PC6,HAG,0.16183502943440464,0.16183502943440464,Positive,Unknown
PC6,DBD,-0.15449633851238823,0.15449633851238823,Negative,Unknown
PC6,PIT,-0.15237031194319825,0.15237031194319825,Negative,Unknown
PC6,HNA,0.14987555267164399,0.14987555267164399,Positive,Unknown
PC6,DMC,-0.149094922650682,0.149094922650682,Negative,Unknown
PC6,DRC,0.1452574340329008,0.1452574340329008,Positive,Unknown
PC6,BID,0.14167083665201283,0.14167083665201283,Positive,Unknown
PC6,CTG,0.1385780958337405,0.1385780958337405,Positive,Unknown
PC6,QCG,-0.13468581313353278,0.13468581313353278,Negative,Unknown
PC6,TDM,0.133737037012996,0.133737037012996,Positive,Unknown
PC6,SBA,0.1331745164774835,0.1331745164774835,Positive,Unknown
PC6,NT2,0.13298155925294705,0.13298155925294705,Positive,Unknown
PC6,BCM,0.1292119493513737,0.1292119493513737,Positive,Unknown
PC6,PC1,0.126417571020904,0.126417571020904,Positive,Unknown
PC6,SGN,0.11983720803016176,0.11983720803016176,Positive,Unknown
PC6,VFG,0.11794287321237333,0.11794287321237333,Positive,Unknown
PC7,DPM,-0.261395399017251,0.261395399017251,Negative,Unknown
PC7,GAS,-0.24427589233887084,0.24427589233887084,Negative,Unknown
PC7,PNJ,-0.23381053868674154,0.23381053868674154,Negative,Unknown
PC7,SHI,-0.2086746341268637,0.2086746341268637,Negative,Unknown
PC7,DCM,-0.20573517923005738,0.20573517923005738,Negative,Unknown
PC7,VNM,-0.1860658729362684,0.1860658729362684,Negative,Unknown
PC7,BWE,-0.17881916317126098,0.17881916317126098,Negative,Unknown
PC7,REE,-0.16328064351461324,0.16328064351461324,Negative,Unknown
PC7,AAM,-0.14854457392977993,0.14854457392977993,Negative,Unknown
PC7,PVT,-0.1300469752573492,0.1300469752573492,Negative,Unknown
PC7,CLC,0.12726673431795457,0.12726673431795457,Positive,Unknown
PC7,BIC,-0.12304681909391171,0.12304681909391171,Negative,Unknown
PC7,FRT,-0.12130960138404241,0.12130960138404241,Negative,Unknown
PC7,VRE,-0.11649191215308838,0.11649191215308838,Negative,Unknown
PC7,AFX,-0.11269943169315552,0.11269943169315552,Negative,Unknown
PC7,BVH,-0.1126153494948237,0.1126153494948237,Negative,Unknown
PC7,FPT,-0.10537710545033371,0.10537710545033371,Negative,Unknown
