PC,eigenvalue,explained_variance_ratio,explained_variance_pct,cumulative_variance_pct
PC1,189.76273642406068,0.5967381648555368,59.67381648555368,59.67381648555368
PC2,59.7785690922054,0.1879829216736019,18.798292167360188,78.47210865291386
PC3,17.19738832022149,0.054079837484973234,5.407983748497323,83.88009240141119
PC4,11.329859508047761,0.03562848901901812,3.562848901901812,87.442941303313
PC5,6.582765279948278,0.020700519748265027,2.0700519748265025,89.5129932781395
PC6,5.188212481106241,0.016315133588384406,1.6315133588384407,91.14450663697795
PC7,3.57604177509493,0.011245414387090974,1.1245414387090975,92.26904807568704
PC8,3.1428760513002767,0.009883258022956845,0.9883258022956846,93.25737387798273
PC9,2.4358181523275,0.007659805510463837,0.7659805510463837,94.02335442902911
PC10,1.8890217723269398,0.0059403200387639615,0.5940320038763961,94.61738643290552
PC11,1.8122914803328323,0.005699029812367397,0.5699029812367397,95.18728941414226
