,coef,std_err,t,pvalue
const,820.0520299581603,713.9718801707004,1.1485774898615022,0.25155215001757497
VNINDEX.L1,0.3060173966652453,0.6039517205104985,0.506691820343818,0.6127053960085709
AAA.L1,-10.150372832181304,13.606573519779465,-0.7459903713029599,0.4561979356455864
AAM.L1,0.5987520626168248,4.284624972643,0.13974433385414373,0.8889462256339349
AAT.L1,13.47327725484061,15.158162447441766,0.888846342791008,0.37472535656685646
ABS.L1,11.857535684385564,16.011044008789703,0.7405847912151164,0.459465533118362
ACB.L1,6.789679727875926,9.138263180121816,0.742994548750282,0.45800724453749864
ACC.L1,1.4308418600718005,5.865371366631529,0.24394735995949904,0.807421364907519
ACG.L1,-13.58340932318702,13.312908958840186,-1.0203186520078478,0.30831582926107687
ACL.L1,7.523003340950339,9.511888109347217,0.7909053654192563,0.42956045848367874
ADG.L1,-13.619299322339835,7.6674122926620925,-1.7762575954567943,0.07660074487608974
ADS.L1,5.194458104180896,13.480961342126639,0.38531807727604267,0.7002470423650444
AFX.L1,6.020193990357413,9.395589539214102,0.6407468062787441,0.5221265653533539
AGG.L1,0.2868685364766179,10.79307527398934,0.026578943368249622,0.978811441169634
AGR.L1,-18.400754428766266,16.08555263487302,-1.143930509970416,0.2534716305024795
ANV.L1,-12.769075640175657,18.663350343679618,-0.6841791749625453,0.49433645816174576
APG.L1,-1.9976973401855709,15.08005309800824,-0.1324728319722843,0.8946900806198665
APH.L1,24.0404387845839,15.980206052556083,1.5043885357622504,0.13342636040041259
ASG.L1,3.2042994606038118,5.991441167513719,0.534812805636462,0.5931351571024539
ASM.L1,13.381741314463326,10.624375663879546,1.2595320174867495,0.20871767612340025
ASP.L1,16.41103282669743,10.364891703990875,1.5833289237724077,0.11429289961982404
BAF.L1,2.232869412379279,8.216693696299593,0.2717479189208254,0.7859837468445211
BCE.L1,-3.2222032852101385,17.844045485892575,-0.18057582781648918,0.8568100474016167
BCG.L1,5.490953543136047,20.73126550637757,0.26486340360876004,0.7912780703012882
BCM.L1,-2.749835453927334,5.91956485975482,-0.4645333768741286,0.6425683125931805
BFC.L1,-7.528131948568211,7.851825480995949,-0.9587747418468247,0.33836574689650667
BHN.L1,-14.307545186630461,8.28094473424071,-1.7277672591474356,0.08495430441891125
BIC.L1,-5.426091687906691,2.627700804880513,-2.064957957857545,0.03969834823953041
BID.L1,-1.0754143024443295,7.894652634254789,-0.1362205979498226,0.891728958777086
BKG.L1,-4.296235031178133,8.783915264108847,-0.4891025131734349,0.6250901454863168
BMC.L1,-1.8806904407098024,7.803549322164375,-0.24100449206723004,0.8096995102740365
BMI.L1,8.201308541292633,8.02072948862976,1.0225140435067488,0.3072776914840674
BMP.L1,-3.0672639648016187,8.899322921620872,-0.3446626211697198,0.7305649436347624
BRC.L1,3.8411890043042263,5.840217371531186,0.657713362353351,0.5111753572606286
BSI.L1,-11.222709277646757,11.678525832489647,-0.9609696838983899,0.3372625686776993
BSR.L1,-6.263263113399766,9.997582387110231,-0.6264777694130252,0.5314295442810313
BTP.L1,-5.377485889910297,4.963424436902443,-1.0834225358462917,0.2794024061383527
BVH.L1,2.189660723319564,7.175674626866085,0.3051505032183824,0.7604416006239225
BWE.L1,-3.5540225292073044,4.759301589254434,-0.74675295577645,0.45573802286142673
C32.L1,-6.210069733682701,10.176715365866741,-0.6102233884335229,0.5421288023547983
C47.L1,5.400460686022363,11.25610538642056,0.47978057246492334,0.6316974541830763
CCL.L1,-2.781924140003653,12.421457349067513,-0.22396117152972345,0.8229244469338394
CDC.L1,-12.339917822599304,5.99404789957216,-2.058695230560319,0.04029860739418933
CHP.L1,4.3259008089049225,7.508700955114574,0.5761184038043654,0.5649231513644094
CIG.L1,-0.3350511148682429,9.423126559030118,-0.035556257550968126,0.9716574279592858
CII.L1,14.570168185640476,10.79006520983207,1.3503318008091294,0.17782383666480694
CKG.L1,-2.525537914672455,4.6081693441097755,-0.5480566633039716,0.5840190878983789
CLC.L1,-4.832719576161949,3.681663932489829,-1.3126454952920394,0.19020367537626567
CLL.L1,15.262430995170263,8.195294234350277,1.8623408212969756,0.06343296987489962
CMG.L1,2.646644917441286,4.204650621321091,0.6294565603193248,0.5294805132452807
CMX.L1,4.904352454818394,12.993578669349372,0.37744431919955196,0.7060831596685703
CNG.L1,1.9103239447232525,6.644729486782971,0.28749461487079003,0.77391191636077
CRC.L1,8.392987979673702,8.270408271273928,1.0148214821299133,0.31092549553775733
CRE.L1,-28.608655285705424,17.602737740750936,-1.6252389660657964,0.10505484169815073
CSV.L1,-0.1721137213887829,14.540286426147844,-0.011837024137246034,0.9905627088798508
CTF.L1,-6.7244805156295735,6.85714966682493,-0.9806524346643309,0.32747395713009
CTG.L1,-18.533530153060912,9.16070311022602,-2.0231558571494452,0.043853268941635215
CTI.L1,-14.085148732323141,8.469775049092934,-1.6629897075993278,0.09725253367321109
CTR.L1,3.6043182763335864,6.01862887900737,0.5988603631809299,0.5496719463997947
CTS.L1,9.328617903486137,13.609650510946823,0.685441400275689,0.4935408776743955
D2D.L1,-9.087519925574453,19.264322618991248,-0.4717279763896681,0.6374289762814384
DAH.L1,5.273955702704939,12.15457079501685,0.4339071935692837,0.664635974674178
DAT.L1,3.683217269014486,7.288380734520263,0.5053546738536188,0.6136430578183845
DBC.L1,1.2129949166011258,9.75856231748032,0.12430057595966897,0.9011520644246281
DBD.L1,1.4481767577837719,6.920581840919024,0.20925650343750002,0.8343755751394459
DBT.L1,1.83488226741042,2.9745981395731365,0.616850472337662,0.5377535995080258
DC4.L1,-9.702305947587597,10.138267718345244,-0.9569983962872896,0.33926024035464974
DCL.L1,0.33988788889600574,4.786634995502544,0.07100768895379733,0.9434341336621153
DCM.L1,2.067273904271879,9.177875892761774,0.2252453539824237,0.8219261600138441
DGC.L1,6.206724857455441,10.003929988825663,0.6204286579762474,0.5353987067698263
DGW.L1,-3.0340392923834303,12.169473294295331,-0.24931557997712958,0.8032699318950773
DHA.L1,-8.432158339556075,9.872954606969103,-0.8540663535112376,0.39368035820877456
DHC.L1,-6.369245273128747,10.370466560277366,-0.6141715260454392,0.5395200941143731
DHG.L1,-14.282056194706454,6.036238556263941,-2.3660523124762265,0.018549321438902453
DHM.L1,12.253711404517189,6.760672826970942,1.812498802727502,0.07080691094381412
DIG.L1,-18.2398697408604,17.819209269258373,-1.0236071345953464,0.3067616679601004
DLG.L1,2.439825314669122,14.587366912103702,0.1672560462330391,0.8672698047038117
DMC.L1,-7.558926050693877,6.914665837072156,-1.0931730077493547,0.2751056593649042
DPG.L1,-8.788090672554503,10.36184489140557,-0.8481202686061836,0.39697837663680446
DPM.L1,-3.9583667392103834,6.397106721380808,-0.6187745353661966,0.536486676778527
DPR.L1,5.269912082676964,8.083896991092871,0.6519024288017948,0.5149124573014807
DQC.L1,-1.0166624850188208,11.35822961729045,-0.08950888644399052,0.9287311405665256
DRC.L1,14.949303746066498,6.608610142610924,2.262094967544922,0.02433377551905334
DRL.L1,-1.0022140694938066,2.0901656239336432,-0.4794902652774774,0.6319037002656962
DSC.L1,-12.326061172816303,5.438743997449063,-2.2663433282753522,0.02406969212382813
DSN.L1,3.5665478451151182,4.717784133220227,0.7559794480636173,0.4501943578241365
DTA.L1,4.508548280624879,11.834121101633555,0.3809787175494198,0.7034612515379168
DTL.L1,17.36018917789631,13.710211387771599,1.2662233051621798,0.2063155514907269
DVP.L1,12.656762846804135,8.28751225728242,1.527208944479371,0.12765547060795537
DXG.L1,9.059052858515798,13.952851545984258,0.6492617533168742,0.5166154156798877
DXS.L1,5.019773861750835,14.189371065046146,0.3537700042334124,0.7237344626055611
DXV.L1,-14.458049753290698,5.303305118431285,-2.7262338165388043,0.00674410690556657
EIB.L1,-4.424286633116303,8.599780068791475,-0.5144650907029588,0.6072671052327605
ELC.L1,10.559227283902452,9.828625166414419,1.0743341113449505,0.2834484734962158
EVE.L1,2.2702309239332514,4.80270792257066,0.47269810293150316,0.6367373141699684
EVF.L1,0.6191951035405845,9.00643938664026,0.06875026599957694,0.9452295464890583
EVG.L1,-5.152281032614091,11.560359971231671,-0.44568517290427884,0.6561134272131672
FCM.L1,9.848732596453182,10.395684130373505,0.9473866724824515,0.3441267006014108
FCN.L1,-11.476033971410683,10.689821127580785,-1.0735478016373343,0.2838003942757826
FIR.L1,-20.38927536429408,9.912485525250661,-2.0569286393765993,0.04046932024302623
FIT.L1,-12.683273454127939,17.08155006501765,-0.7425130275561342,0.4582984331357888
FMC.L1,-11.264743729163225,8.976912092474398,-1.254857306512646,0.21040790216271021
FPT.L1,6.211614265973175,8.436692936515373,0.7362617452969401,0.4620882014752117
FRT.L1,2.535995251154759,7.624088502815036,0.33262930384640677,0.7396227927844796
FTS.L1,14.940432952007605,11.911572806647817,1.254278775315833,0.21061777040805574
GAS.L1,-6.658738908067898,5.033822089369386,-1.3227998109289703,0.18680691560279675
GDT.L1,2.731385947069761,8.581080448725132,0.3183032676818169,0.7504538402493085
GEE.L1,0.23704201332119368,3.4760106080775044,0.06819369675407745,0.9456722501094752
GEX.L1,-13.570897247858582,12.795817648228777,-1.0605728856832446,0.289650365855873
GMD.L1,-0.8828595724148656,6.530246907258413,-0.13519543517314195,0.8925387942763747
GSP.L1,-1.0966458900051812,8.074901681818586,-0.13580919411989675,0.8920539369310448
GTA.L1,-8.347981207594772,3.4422285399744696,-2.425167623430572,0.01583102504031818
GVR.L1,-25.100094544304937,14.342039246525042,-1.7501063909294827,0.08101821344226769
HAG.L1,-3.971774660671512,5.887233381434409,-0.674641958852292,0.5003699697042154
HAH.L1,15.225416286900114,9.896197155881906,1.538511818941555,0.12487032009800145
HAP.L1,-14.78457095990305,11.708898308456185,-1.2626782273124373,0.20758568529365884
HAR.L1,8.51263831029364,10.388956033714678,0.8193930441776891,0.4131465003969629
HAX.L1,0.32045837102197083,8.16920977823835,0.03922758500774797,0.968732377548394
HCD.L1,-12.885755158950532,9.429550863414047,-1.3665290474169136,0.1726921791423031
HCM.L1,-4.8318103426027665,9.414218302468708,-0.5132460484091081,0.6081185325905146
HDB.L1,6.041186167801037,8.129568487341205,0.7431127712630688,0.45793576820404747
HDC.L1,-5.871583625649582,7.91399230331483,-0.7419243538043662,0.4586545613704316
HDG.L1,6.838589242857136,10.612323258682716,0.6444007665580661,0.5197578905511644
HHP.L1,10.342504070229268,4.5683986365150835,2.26392328978516,0.024219817091255817
HHS.L1,-12.801382202734676,14.880126217517587,-0.8603006463523329,0.39024043938500885
HHV.L1,13.542335236064325,14.135703872150206,0.9580234106873928,0.3387439001169741
HII.L1,-11.869362032785908,17.79300954815132,-0.6670800687576276,0.505181575888915
HMC.L1,-22.690495328868,13.153270926991148,-1.7250838559332042,0.08543739167738758
HNA.L1,-7.374904594130136,4.004832843454937,-1.8415012267448008,0.06643470058849618
HPG.L1,-9.876759895827085,14.586033512781297,-0.6771381600880308,0.49878702152094223
HPX.L1,13.838776376413676,31.502914639686523,0.43928558784779737,0.6607386795780427
HQC.L1,9.33751839319864,10.756837991963907,0.8680541995867562,0.3859879287599558
HSG.L1,42.305668833592264,14.553766424928712,2.9068536348864407,0.003894791058336402
HSL.L1,-3.638774712391168,6.914331866316359,-0.526265557214242,0.5990529853918924
HT1.L1,16.226801339709844,9.567534161419202,1.6960275308076704,0.09081247070563193
