Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,22.78002797447326,17.270701570111992,1.4771446646890145,25.30748969509763,20.64442291507876,1.65161884149144,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,82
10,16,25.151749992532054,19.313759097255232,1.6671368184860653,29.929527537927978,26.40678512449186,2.095131865222389,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,52
10,32,27.836772859959755,21.458426485823136,1.8634338007046798,26.69292599066067,22.75626532329776,1.8143599016322498,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,58
20,8,27.590346063921547,20.230540023921996,1.7576177501808319,25.552145583659073,20.469014465828245,1.6411071772085075,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,51
20,16,26.16710107336244,19.138619171852287,1.666105460086369,25.619148223204494,20.61213843368902,1.6515709848961553,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,61
20,32,24.799815887025698,18.370847243671278,1.6103640528795033,25.744837013216898,21.2948948011941,1.6997918062752602,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,72
30,8,22.63521750113147,17.10103635765347,1.4865192117670194,27.118495470691165,20.102668595973068,1.6257415766863146,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,27
30,16,21.172746451154463,16.054990171651124,1.3969198798089846,25.985798959522096,21.03999202076981,1.6835468294121838,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,237
30,32,32.89376348027564,24.55561985664217,2.1489381892174206,81.71084828465727,77.40176916603151,6.112229007481769,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,1
45,8,28.267071175131356,21.821711734064728,1.949318951324916,25.225772649509935,19.76532373443851,1.5891276908375644,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,48
45,16,21.848326993458528,16.34499225313455,1.436510282727373,25.763485314140105,20.741255914951726,1.6614303858063204,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,129
45,32,23.194571592666037,17.139972697022976,1.5104155353069608,26.357928834435832,22.03272337874745,1.7539517238727005,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,157
60,8,22.795400304865662,17.24511654637441,1.5172748488649275,25.79221986473246,19.73838589303861,1.591950449157215,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,31
60,16,24.82001490782936,18.300713634330688,1.6174461001602132,25.211405717815865,20.178277756605684,1.61685546773228,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,120
60,32,33.09460862158992,23.78887765066964,2.0955360653310557,82.88516183623761,78.67195205316311,6.213422912326768,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,1
