Symbol,ADF_p_original,ADF_p_logreturn,Stationary_after_diff
AAA,0.3487,0.0,True
AAM,0.2322,0.0,True
AAT,0.6445,0.0,True
ABS,0.5701,0.0,True
ACB,0.2157,0.0,True
ACC,0.2531,0.0,True
ACG,0.386,0.0,True
ACL,0.4748,0.0,True
ADG,0.7575,0.0,True
ADS,0.427,0.0,True
