label,Seed,N,DM_Stat,p_value,Significant
no_dr,42,167,3.8359,0.0001,True
no_dr,52,167,1.7380,0.0822,False
no_dr,62,167,4.0503,0.0001,True
no_dr,72,167,2.5199,0.0117,True
no_dr,82,167,3.8339,0.0001,True
pca_cev_0.75,42,167,-1.9441,0.0519,False
pca_cev_0.75,52,167,-1.9651,0.0494,True
pca_cev_0.75,62,167,-2.3381,0.0194,True
pca_cev_0.75,72,167,-2.1729,0.0298,True
pca_cev_0.75,82,167,-2.1012,0.0356,True
pca_cev_0.80,42,167,-8.1594,0.0000,True
pca_cev_0.80,52,167,-7.7367,0.0000,True
pca_cev_0.80,62,167,-11.3451,0.0000,True
pca_cev_0.80,72,167,-7.9946,0.0000,True
pca_cev_0.80,82,167,-12.7865,0.0000,True
pca_cev_0.85,42,167,-2.6465,0.0081,True
pca_cev_0.85,52,167,-2.8976,0.0038,True
pca_cev_0.85,62,167,-2.8453,0.0044,True
pca_cev_0.85,72,167,-2.5335,0.0113,True
pca_cev_0.85,82,167,-2.4877,0.0129,True
pca_cev_0.90,42,167,-3.0448,0.0023,True
pca_cev_0.90,52,167,-3.0349,0.0024,True
pca_cev_0.90,62,167,-3.0753,0.0021,True
pca_cev_0.90,72,167,-3.5590,0.0004,True
pca_cev_0.90,82,167,-2.3935,0.0167,True
pca_cev_0.95,42,167,-2.7644,0.0057,True
pca_cev_0.95,52,167,-4.4291,0.0000,True
pca_cev_0.95,62,167,-3.7871,0.0002,True
pca_cev_0.95,72,167,-3.6101,0.0003,True
pca_cev_0.95,82,167,-3.7008,0.0002,True
