epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.6766927242279053,0.6599597334861755,0.4610365629196167,0.6491861343383789,0.0003000000142492354
2,0.4908291697502136,0.5230546593666077,0.40250346064567566,0.5974502563476562,0.0003000000142492354
3,0.4016799330711365,0.4352125823497772,0.38762980699539185,0.5835386514663696,0.0003000000142492354
4,0.34055063128471375,0.3686909079551697,0.3620646893978119,0.5591459274291992,0.0003000000142492354
5,0.268107146024704,0.3283972144126892,0.3411148488521576,0.5418339967727661,0.0003000000142492354
6,0.1889467090368271,0.2781910300254822,0.3346099853515625,0.5345144867897034,0.0003000000142492354
7,0.1600978970527649,0.25375378131866455,0.3188701868057251,0.5134414434432983,0.0003000000142492354
8,0.14377522468566895,0.2346772402524948,0.3004162907600403,0.49283725023269653,0.0003000000142492354
9,0.126536563038826,0.22199536859989166,0.27738338708877563,0.46974509954452515,0.0003000000142492354
10,0.10327523201704025,0.21152670681476593,0.2511935830116272,0.4456807076931,0.0003000000142492354
11,0.10683462768793106,0.21003097295761108,0.20646034181118011,0.40112924575805664,0.0003000000142492354
12,0.1015029028058052,0.20509329438209534,0.20776912569999695,0.40324506163597107,0.0003000000142492354
13,0.08642265945672989,0.19454321265220642,0.16992856562137604,0.3622988760471344,0.0003000000142492354
14,0.08042128384113312,0.19276776909828186,0.1734818071126938,0.3703782260417938,0.0003000000142492354
15,0.06955232471227646,0.1792897880077362,0.16318096220493317,0.35716626048088074,0.0003000000142492354
16,0.06647762656211853,0.18110191822052002,0.13988152146339417,0.3222906291484833,0.0003000000142492354
17,0.06017352268099785,0.16818687319755554,0.21139055490493774,0.4075605571269989,0.0003000000142492354
18,0.057772714644670486,0.16965843737125397,0.19013535976409912,0.3826509118080139,0.0003000000142492354
19,0.061258286237716675,0.17344669997692108,0.15796512365341187,0.3498370051383972,0.0003000000142492354
20,0.06018591672182083,0.1730177104473114,0.12807917594909668,0.30931735038757324,0.0003000000142492354
21,0.05714273825287819,0.1678364872932434,0.20025379955768585,0.40328750014305115,0.0003000000142492354
22,0.0482950285077095,0.15782448649406433,0.11841068416833878,0.29540252685546875,0.0003000000142492354
23,0.04030410572886467,0.14514216780662537,0.17236196994781494,0.36630746722221375,0.0003000000142492354
24,0.04383397474884987,0.15311893820762634,0.11496678739786148,0.29325413703918457,0.0003000000142492354
25,0.044242773205041885,0.151295468211174,0.1330658197402954,0.3182027339935303,0.0003000000142492354
26,0.04070856794714928,0.15025188028812408,0.08988458663225174,0.2541537284851074,0.0003000000142492354
27,0.038138650357723236,0.14221732318401337,0.15988558530807495,0.3534715175628662,0.0003000000142492354
28,0.03638545423746109,0.1385413259267807,0.1107877716422081,0.2862994968891144,0.0003000000142492354
29,0.03590164706110954,0.1374480128288269,0.11596684902906418,0.2954216003417969,0.0003000000142492354
30,0.035742055624723434,0.14089077711105347,0.07335826009511948,0.22776348888874054,0.0003000000142492354
31,0.028343413025140762,0.12899944186210632,0.09762026369571686,0.2697768211364746,0.0003000000142492354
32,0.03359292820096016,0.13555604219436646,0.04121628403663635,0.16663555800914764,0.0003000000142492354
33,0.029169751331210136,0.13122650980949402,0.06337159126996994,0.20898444950580597,0.0003000000142492354
34,0.03298650309443474,0.1314840167760849,0.05505116656422615,0.19231176376342773,0.0003000000142492354
35,0.030726250261068344,0.1271783858537674,0.04671096056699753,0.1749931424856186,0.0003000000142492354
36,0.030422979965806007,0.12507495284080505,0.048115432262420654,0.17862214148044586,0.0003000000142492354
37,0.0326978974044323,0.13158774375915527,0.05378526449203491,0.19105055928230286,0.0003000000142492354
38,0.03503681346774101,0.13453088700771332,0.07762686163187027,0.23002228140830994,0.0003000000142492354
39,0.03196459263563156,0.13659872114658356,0.04780087247490883,0.18093489110469818,0.0003000000142492354
40,0.04127993434667587,0.14041860401630402,0.06975992023944855,0.22130738198757172,0.0003000000142492354
41,0.03495524078607559,0.1352136880159378,0.049563925713300705,0.18230360746383667,0.0003000000142492354
42,0.029590211808681488,0.12988348305225372,0.041686154901981354,0.16708333790302277,0.0003000000142492354
43,0.027239518240094185,0.12107772380113602,0.05294084921479225,0.18899226188659668,0.0003000000142492354
