Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,14.625648461795018,11.031892094485206,0.94038112880542,23.585670572005387,18.564982175749495,1.489789858046517,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,67
10,16,14.000027335769374,10.44626168254664,0.9007513578559532,28.114711142438825,24.337699996824185,1.9363691071872764,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,93
10,32,17.19573342786493,13.214443480052877,1.1312092725299518,24.679114081221154,20.421324433117377,1.6311439525292522,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,53
20,8,15.116171080748598,11.110498482164488,0.9607469545943391,35.83863534172944,29.369509059006596,2.327576782110616,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,18
20,16,14.924615090315395,11.1545221798919,0.9666102088319407,32.42552517753136,26.480515752032517,2.096177344058361,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,16
20,32,15.465168200930759,11.453860889996673,0.9947861518647402,25.886362425555816,20.566483620744407,1.6446474116832106,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,74
30,8,14.255306257297722,10.630291005010193,0.9227069378116853,31.25271833555286,25.690449179052333,2.034132760225785,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,40
30,16,14.69628414727823,11.004520287796447,0.9535710484443732,22.91728952126179,17.45717983835112,1.3990751385475695,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,100
30,32,14.056998699629254,10.43032569613853,0.9084015432993505,40.71137149287916,35.45011619505842,2.79933376908479,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,129
45,8,33.363360668220494,23.56425862298721,2.000842732381938,29.81840411754995,24.713953609311478,1.9715180606238787,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,50
45,16,22.238482864398865,17.247279104943672,1.534532844772707,28.982109792162102,23.530593956427843,1.8579744261272635,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,63
45,32,18.52637722730503,13.179692696068296,1.1442091920087003,22.826085221947594,18.729226371951228,1.4930375243021092,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,46
60,8,16.312841955292303,11.963614958434547,1.0544816474535823,41.15079183273082,33.05103146436737,2.613356592371573,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,24
60,16,17.565081494002186,12.430042170676867,1.099097727484136,25.406504623771074,18.830610947027438,1.5207871359186913,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,25
60,32,14.562324536393616,11.048551281840862,0.9766524125911749,23.755646750653757,20.63098152470782,1.638855182345552,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,78
