Seed,N,DM_Stat,p_value,Significant
42,167,-3.2696000836026906,0.0010769963001198146,True
52,167,-2.330818378106277,0.01976293862118217,True
62,167,-2.7215236831980394,0.006498172869167318,True
72,167,-3.409344990109885,0.000651190730576845,True
82,167,-3.0564679457137114,0.0022396142563287924,True
