Symbol,label,attributed_pct
KHP,pca_cev_0.75,0.33961060796525067
ASP,pca_cev_0.75,0.33860155442928447
NTL,pca_cev_0.75,0.33851351685336123
VTO,pca_cev_0.75,0.33849421467031593
NHH,pca_cev_0.75,0.33782192399096034
HII,pca_cev_0.75,0.3376824099541131
TMS,pca_cev_0.75,0.3371702310345435
C47,pca_cev_0.75,0.3371569245162754
TCO,pca_cev_0.75,0.33645004893119734
HSL,pca_cev_0.75,0.3362342568122455
DXS,pca_cev_0.75,0.33622934095135476
SGR,pca_cev_0.75,0.3359737237670194
BRC,pca_cev_0.75,0.33587549942214157
VTP,pca_cev_0.75,0.3357533298121414
HAP,pca_cev_0.75,0.33562222629183786
BFC,pca_cev_0.75,0.3355223091090331
LIX,pca_cev_0.75,0.3353015340976954
CTS,pca_cev_0.75,0.33440821441112706
ASM,pca_cev_0.75,0.3343449808276169
CII,pca_cev_0.75,0.3341496169243142
KOS,pca_cev_0.75,0.3341015461147901
VPB,pca_cev_0.75,0.3339194532670015
VSC,pca_cev_0.75,0.33356478907125126
DPG,pca_cev_0.75,0.3332226717351809
BMC,pca_cev_0.75,0.3329717015533761
PAN,pca_cev_0.75,0.3328794525982861
DPR,pca_cev_0.75,0.3328056644154886
CCL,pca_cev_0.75,0.33256244008952884
DC4,pca_cev_0.75,0.3317338738143649
TNT,pca_cev_0.75,0.33118711389063216
TRC,pca_cev_0.75,0.3311675107066895
VND,pca_cev_0.75,0.3311621293769186
VJC,pca_cev_0.75,0.3309681441308805
HUB,pca_cev_0.75,0.3296031596022096
HVN,pca_cev_0.75,0.3290036217395736
VNG,pca_cev_0.75,0.3287522997280027
TLD,pca_cev_0.75,0.32844083818218095
HTI,pca_cev_0.75,0.3278691650091507
BTP,pca_cev_0.75,0.32778957045457774
LPB,pca_cev_0.75,0.32753460950164565
FCM,pca_cev_0.75,0.3272316814575692
FIT,pca_cev_0.75,0.32721985102105405
LCG,pca_cev_0.75,0.32683929919382987
PPC,pca_cev_0.75,0.3265690153953662
TCD,pca_cev_0.75,0.3261963520856187
THG,pca_cev_0.75,0.3259876121772511
NAV,pca_cev_0.75,0.3249500143105681
VRC,pca_cev_0.75,0.32438592042390135
HDC,pca_cev_0.75,0.3243003596261602
HDB,pca_cev_0.75,0.32395471199760884
NKG,pca_cev_0.75,0.32297163838045484
SHA,pca_cev_0.75,0.3222893491689452
PET,pca_cev_0.75,0.3217370132284934
SIP,pca_cev_0.75,0.3207961036651494
PAC,pca_cev_0.75,0.32075146920809905
DHM,pca_cev_0.75,0.3207155778893647
DGW,pca_cev_0.75,0.3206143902339585
MSB,pca_cev_0.75,0.32049842957802294
HAR,pca_cev_0.75,0.32014574517807615
KHG,pca_cev_0.75,0.31944689040643365
EIB,pca_cev_0.75,0.319309300204891
SFI,pca_cev_0.75,0.3190691818497426
LGL,pca_cev_0.75,0.31863319591429523
SCR,pca_cev_0.75,0.3182001116964026
PHR,pca_cev_0.75,0.3178027746012396
MCH,pca_cev_0.75,0.3175995986309448
PIT,pca_cev_0.75,0.3175292824172861
GEE,pca_cev_0.75,0.31739594905977886
TDH,pca_cev_0.75,0.3173726286719311
CDC,pca_cev_0.75,0.31737203110173645
CTF,pca_cev_0.75,0.31654085353513106
ACL,pca_cev_0.75,0.31650760428096636
VOS,pca_cev_0.75,0.3159210831385788
HQC,pca_cev_0.75,0.3154237667440844
HDG,pca_cev_0.75,0.31538507974510366
DHC,pca_cev_0.75,0.31529495265076596
AAA,pca_cev_0.75,0.31432340659818103
TDC,pca_cev_0.75,0.314026571389973
EVG,pca_cev_0.75,0.3140087434978025
ITC,pca_cev_0.75,0.3139152761761555
SSB,pca_cev_0.75,0.31336607624912016
BMI,pca_cev_0.75,0.31267917435031733
HCM,pca_cev_0.75,0.3126440062221616
CHP,pca_cev_0.75,0.31245059857237895
SAV,pca_cev_0.75,0.3120420934930805
CLC,pca_cev_0.75,0.3119530465630667
ADS,pca_cev_0.75,0.31189633014787216
NHA,pca_cev_0.75,0.3111467404116654
FMC,pca_cev_0.75,0.3108604648323209
TVB,pca_cev_0.75,0.3107589933072172
CTR,pca_cev_0.75,0.31027053677771255
DVP,pca_cev_0.75,0.30999046539442654
DBT,pca_cev_0.75,0.30993184058187695
SVT,pca_cev_0.75,0.3092841285833644
OGC,pca_cev_0.75,0.30924583953039947
SMB,pca_cev_0.75,0.3080898709746912
KMR,pca_cev_0.75,0.3080450656570773
YEG,pca_cev_0.75,0.3078897184679767
SBA,pca_cev_0.75,0.3076617048668802
DRC,pca_cev_0.75,0.30701928771481796
ACC,pca_cev_0.75,0.30669637845070236
DCL,pca_cev_0.75,0.30669188742444037
DXG,pca_cev_0.75,0.3065520178072146
PTL,pca_cev_0.75,0.30618254219513685
VMD,pca_cev_0.75,0.30563627224109813
VNE,pca_cev_0.75,0.30553957338428334
PHC,pca_cev_0.75,0.305193580398151
CRC,pca_cev_0.75,0.3049141036855056
VPI,pca_cev_0.75,0.3047976654754198
HHP,pca_cev_0.75,0.30458398125081076
SJS,pca_cev_0.75,0.3045379738353847
DIG,pca_cev_0.75,0.3038365650127119
BAF,pca_cev_0.75,0.30212874890015523
NSC,pca_cev_0.75,0.3020972659674195
VNL,pca_cev_0.75,0.30176827134036543
HVH,pca_cev_0.75,0.3003795811160588
STB,pca_cev_0.75,0.30018793183325143
BSI,pca_cev_0.75,0.29998134529083026
PLX,pca_cev_0.75,0.29960803089113947
AAM,pca_cev_0.75,0.2994153277767949
VPD,pca_cev_0.75,0.299014457890783
NAB,pca_cev_0.75,0.2987252036524034
ELC,pca_cev_0.75,0.298328791263532
PC1,pca_cev_0.75,0.29742282381926766
SBT,pca_cev_0.75,0.29730120121091974
DTL,pca_cev_0.75,0.2966848149427063
BWE,pca_cev_0.75,0.2943766984055561
BID,pca_cev_0.75,0.29413424162288615
HNA,pca_cev_0.75,0.2934523500914974
SJD,pca_cev_0.75,0.2908559377944411
TDP,pca_cev_0.75,0.28940318782834046
MSH,pca_cev_0.75,0.2893942353930836
NNC,pca_cev_0.75,0.2859935990228812
HAX,pca_cev_0.75,0.2855026056404673
GTA,pca_cev_0.75,0.2827135993343173
DCM,pca_cev_0.75,0.28226882053002766
SGN,pca_cev_0.75,0.27838709772963127
DPM,pca_cev_0.75,0.2763481037939691
TNH,pca_cev_0.75,0.27550923423012846
HT1,pca_cev_0.75,0.275101089037331
CMG,pca_cev_0.75,0.2745889772194275
CLL,pca_cev_0.75,0.27371386395001146
BSR,pca_cev_0.75,0.2735626087666267
POW,pca_cev_0.75,0.2729821843718597
DMC,pca_cev_0.75,0.27223376380461733
TBC,pca_cev_0.75,0.27054318979395814
VRE,pca_cev_0.75,0.26971226231707834
FIR,pca_cev_0.75,0.26904376781596084
TRA,pca_cev_0.75,0.26708686905884543
PVT,pca_cev_0.75,0.26611615177101117
ILB,pca_cev_0.75,0.2652175621659702
VGC,pca_cev_0.75,0.2623437566306806
CTG,pca_cev_0.75,0.2618168223010582
TMP,pca_cev_0.75,0.2599685924518896
VFG,pca_cev_0.75,0.25923975726980764
GMD,pca_cev_0.75,0.25847599608502264
BMP,pca_cev_0.75,0.25744671179961615
DRL,pca_cev_0.75,0.2565752471048759
VTB,pca_cev_0.75,0.254996224504833
PVD,pca_cev_0.75,0.25326831401034916
MIG,pca_cev_0.75,0.24905703455303016
DBD,pca_cev_0.75,0.24831278787147723
HAH,pca_cev_0.75,0.24798968851414036
HAG,pca_cev_0.75,0.24540977815054651
PVS,pca_cev_0.75,0.24504682936946992
SRC,pca_cev_0.75,0.24212131127032432
DSN,pca_cev_0.75,0.24067537186459015
EVE,pca_cev_0.75,0.2405037888251831
DHG,pca_cev_0.75,0.23774878651140308
GAS,pca_cev_0.75,0.23754240738696414
ST8,pca_cev_0.75,0.23595710316352148
NT2,pca_cev_0.75,0.23398422337719602
VSH,pca_cev_0.75,0.23386530057121194
PDV,pca_cev_0.75,0.23364026453452266
SKG,pca_cev_0.75,0.2323196233540533
PGD,pca_cev_0.75,0.23180677355190552
SAB,pca_cev_0.75,0.2257776222090239
DGC,pca_cev_0.75,0.22372912246736462
ITD,pca_cev_0.75,0.21918343960330255
BIC,pca_cev_0.75,0.2120024608132737
TDM,pca_cev_0.75,0.21011916744325335
FPT,pca_cev_0.75,0.20995117655840428
VCB,pca_cev_0.75,0.20616989240137373
VIP,pca_cev_0.75,0.20288415801221185
SHP,pca_cev_0.75,0.2013005393966097
NCT,pca_cev_0.75,0.18676386276268173
FRT,pca_cev_0.75,0.18672928403865985
DSC,pca_cev_0.75,0.18443559161692716
TMT,pca_cev_0.75,0.16169425374253818
BCM,pca_cev_0.75,0.14722879302771685
SHI,pca_cev_0.75,0.13789228514315144
CKG,pca_cev_0.75,0.13308913611674286
VNM,pca_cev_0.75,0.12872507821217236
REE,pca_cev_0.75,0.11821221184641223
KDC,pca_cev_0.75,0.08129128928887609
PNJ,pca_cev_0.75,0.0629716628738626
OPC,pca_cev_0.75,0.04855101297726132
GMD,pca_cev_0.80,0.4723154786313615
DGC,pca_cev_0.80,0.4710944355881535
DBD,pca_cev_0.80,0.45038675537917694
STB,pca_cev_0.80,0.44885963169528625
FRT,pca_cev_0.80,0.445002820744486
DTL,pca_cev_0.80,0.44458283708055363
CHP,pca_cev_0.80,0.4374844561569775
LCG,pca_cev_0.80,0.4347707598030969
FPT,pca_cev_0.80,0.4330732225158216
CTR,pca_cev_0.80,0.4293856063827554
VSH,pca_cev_0.80,0.4284297089847032
VTP,pca_cev_0.80,0.424226821321182
CDC,pca_cev_0.80,0.42349647119013784
VRE,pca_cev_0.80,0.4218926086835018
ANV,pca_cev_0.80,0.4197854288344949
SIP,pca_cev_0.80,0.417565131753047
SHP,pca_cev_0.80,0.41606854384896097
HNA,pca_cev_0.80,0.4125394798208318
VIP,pca_cev_0.80,0.412226892493446
VPI,pca_cev_0.80,0.4083982959970733
VTO,pca_cev_0.80,0.40802784702415695
CMG,pca_cev_0.80,0.4069847222919624
NTC,pca_cev_0.80,0.4065165429640491
VGC,pca_cev_0.80,0.4044276884446543
HCM,pca_cev_0.80,0.40360254379887084
HHP,pca_cev_0.80,0.40105293711669027
VCB,pca_cev_0.80,0.4001749555497523
HHV,pca_cev_0.80,0.39944274887527204
VNE,pca_cev_0.80,0.3987611719518177
VNL,pca_cev_0.80,0.3982834626944895
FIR,pca_cev_0.80,0.3966388325946209
SBA,pca_cev_0.80,0.3938180589908946
SSB,pca_cev_0.80,0.39234685254916407
HAH,pca_cev_0.80,0.39208196364580294
DVP,pca_cev_0.80,0.3918128708011451
NVL,pca_cev_0.80,0.3915155943949025
OGC,pca_cev_0.80,0.3913545611115824
SGR,pca_cev_0.80,0.3908409908982712
HSG,pca_cev_0.80,0.38968681043731324
VJC,pca_cev_0.80,0.3890098254884001
APG,pca_cev_0.80,0.3885143706782412
VCA,pca_cev_0.80,0.38692928374335545
AGR,pca_cev_0.80,0.386518357397719
PVP,pca_cev_0.80,0.3860519227122526
ELC,pca_cev_0.80,0.385717865251106
NNC,pca_cev_0.80,0.3840099889415005
ADG,pca_cev_0.80,0.38212818098984747
NAF,pca_cev_0.80,0.3817880373293
CTF,pca_cev_0.80,0.3812515244540538
TMP,pca_cev_0.80,0.3802882443635299
DGW,pca_cev_0.80,0.38026609828588687
NCT,pca_cev_0.80,0.37996387550066674
ITD,pca_cev_0.80,0.37908035912721
CTI,pca_cev_0.80,0.3782292576416984
CLC,pca_cev_0.80,0.3772263600307274
OCB,pca_cev_0.80,0.37683541763921713
DRC,pca_cev_0.80,0.37679605717656495
BSI,pca_cev_0.80,0.3766000382872446
BID,pca_cev_0.80,0.376043884977648
CTG,pca_cev_0.80,0.3737468204908979
PDV,pca_cev_0.80,0.3733385289682874
TEG,pca_cev_0.80,0.3720098347151155
GSP,pca_cev_0.80,0.3703289667185832
VPB,pca_cev_0.80,0.3686295890614887
SAB,pca_cev_0.80,0.3683855009916625
TRA,pca_cev_0.80,0.36799814968868305
SAM,pca_cev_0.80,0.36753197762871215
EVF,pca_cev_0.80,0.3666713446528908
REE,pca_cev_0.80,0.3660575209413117
CTS,pca_cev_0.80,0.365632293669805
YBM,pca_cev_0.80,0.3642143630502197
AAT,pca_cev_0.80,0.3619976485229152
NAB,pca_cev_0.80,0.3615564552958093
HPG,pca_cev_0.80,0.36142022112733374
TCI,pca_cev_0.80,0.3610476495628174
HTN,pca_cev_0.80,0.3598523994970326
HDB,pca_cev_0.80,0.3596481745431968
VIC,pca_cev_0.80,0.3594583947805428
MWG,pca_cev_0.80,0.35919490671104787
VDS,pca_cev_0.80,0.35860121123096256
LBM,pca_cev_0.80,0.3585466086379795
VIB,pca_cev_0.80,0.35743166568038787
DHA,pca_cev_0.80,0.35570125678102943
NSC,pca_cev_0.80,0.35538303304245783
CSV,pca_cev_0.80,0.3548297249514685
VMD,pca_cev_0.80,0.35476503595776754
DHM,pca_cev_0.80,0.35430016496336486
LSS,pca_cev_0.80,0.35365403126662537
C32,pca_cev_0.80,0.35363940213913647
HPX,pca_cev_0.80,0.3530234340525839
AAM,pca_cev_0.80,0.3529074793682728
TDP,pca_cev_0.80,0.35285641155181496
BMP,pca_cev_0.80,0.3510375989528433
TDM,pca_cev_0.80,0.3502426188765799
MSN,pca_cev_0.80,0.3495192897860483
DBT,pca_cev_0.80,0.3492257197510289
HMC,pca_cev_0.80,0.3491055494322208
CKG,pca_cev_0.80,0.3477617732893731
VHM,pca_cev_0.80,0.3467826620982525
DAH,pca_cev_0.80,0.3466760828140303
NHH,pca_cev_0.80,0.3451293521110624
DPM,pca_cev_0.80,0.343488012894414
PVD,pca_cev_0.80,0.34331657430958346
HTL,pca_cev_0.80,0.3428647772900758
HTI,pca_cev_0.80,0.34277188502400774
MIG,pca_cev_0.80,0.34216176523499925
PLX,pca_cev_0.80,0.34182204949039907
ACG,pca_cev_0.80,0.34148416347845445
DCM,pca_cev_0.80,0.3410208264965317
C47,pca_cev_0.80,0.34082712215983235
DHG,pca_cev_0.80,0.3405997155700556
DSN,pca_cev_0.80,0.3386719147912866
CLL,pca_cev_0.80,0.33851244792858176
LPB,pca_cev_0.80,0.3382669743030312
EVE,pca_cev_0.80,0.3381790880901244
TPB,pca_cev_0.80,0.33801043207969556
PAC,pca_cev_0.80,0.3377764041349974
KSB,pca_cev_0.80,0.33685805247311706
BVH,pca_cev_0.80,0.33655608615030747
TVT,pca_cev_0.80,0.3364009862780797
TCH,pca_cev_0.80,0.3338686252374681
PDR,pca_cev_0.80,0.33244216226059753
CNG,pca_cev_0.80,0.3307625355055381
HCD,pca_cev_0.80,0.3297617522195941
SSI,pca_cev_0.80,0.32944088855283676
TIP,pca_cev_0.80,0.32914095088848283
FTS,pca_cev_0.80,0.3286521519656076
PLP,pca_cev_0.80,0.3275640754251405
BCG,pca_cev_0.80,0.3264246548920178
BMC,pca_cev_0.80,0.3257908906676017
VIX,pca_cev_0.80,0.3251825618952574
GDT,pca_cev_0.80,0.3242153468830557
TYA,pca_cev_0.80,0.32391045918480826
SVD,pca_cev_0.80,0.3237487385679023
DXS,pca_cev_0.80,0.3237101675226051
VPG,pca_cev_0.80,0.3235930592374214
ABS,pca_cev_0.80,0.3233245148550889
HAP,pca_cev_0.80,0.3227833274021758
ASG,pca_cev_0.80,0.3227653547624677
DQC,pca_cev_0.80,0.3224584330755609
TCB,pca_cev_0.80,0.32225635637710076
NVT,pca_cev_0.80,0.32210835111388225
VCI,pca_cev_0.80,0.32203235137850283
ASP,pca_cev_0.80,0.321712754194044
PC1,pca_cev_0.80,0.32144502853316403
POW,pca_cev_0.80,0.3213138755647344
SBV,pca_cev_0.80,0.32127765775962414
SHB,pca_cev_0.80,0.32082051417045515
HVH,pca_cev_0.80,0.3204182297274445
HVN,pca_cev_0.80,0.3202478827455135
BHN,pca_cev_0.80,0.31969754104283277
TV2,pca_cev_0.80,0.3191960992436987
SCS,pca_cev_0.80,0.31912492634258227
TCT,pca_cev_0.80,0.3189356761322651
PVS,pca_cev_0.80,0.3182684225782696
PGC,pca_cev_0.80,0.31774074240291345
BCM,pca_cev_0.80,0.31757696430781573
SGN,pca_cev_0.80,0.3172725646012949
LIX,pca_cev_0.80,0.3166782992251898
SJS,pca_cev_0.80,0.31648419627793706
MCH,pca_cev_0.80,0.31621129995087094
VRC,pca_cev_0.80,0.3153302305478777
DMC,pca_cev_0.80,0.31526287315298585
IMP,pca_cev_0.80,0.3142364430928808
AGG,pca_cev_0.80,0.31300148478198153
KOS,pca_cev_0.80,0.3129294042098578
SZL,pca_cev_0.80,0.3127268186125171
KHP,pca_cev_0.80,0.3125010344731355
VSC,pca_cev_0.80,0.31242982753823584
VID,pca_cev_0.80,0.3123260207936133
FMC,pca_cev_0.80,0.31024964142518974
PVT,pca_cev_0.80,0.31001223280875506
DCL,pca_cev_0.80,0.30978567343208224
MBB,pca_cev_0.80,0.3095767564960024
ICT,pca_cev_0.80,0.3094403548526149
ACB,pca_cev_0.80,0.30916512957142933
PTC,pca_cev_0.80,0.30866243385606096
CMX,pca_cev_0.80,0.3069141119587957
DPR,pca_cev_0.80,0.30640851039621486
VTB,pca_cev_0.80,0.30604832607755816
KDC,pca_cev_0.80,0.305569663788814
TBC,pca_cev_0.80,0.3050392145207496
DXV,pca_cev_0.80,0.30467833913028125
TTF,pca_cev_0.80,0.3039231066464596
VAB,pca_cev_0.80,0.3038483273576812
ACL,pca_cev_0.80,0.30384017285746656
NBB,pca_cev_0.80,0.3036857266262145
