label,channel,is_pc,perm_dRMSE_mean,perm_dRMSE_sd,signal_over_2sd,harmful,ablation_dRMSE_diagnostic
pca_cev_0.75,PC1,True,0.9500244499405562,0.19273611438151952,True,False,0.37808003392584766
pca_cev_0.75,PC2,True,0.3655162895713369,0.13143342379141743,True,False,4.749600690999696
pca_cev_0.75,VNINDEX_history,False,18.229753892523593,1.4019069244957514,True,False,37.695475348420274
pca_cev_0.80,PC1,True,0.44235328347714375,0.1996969445092243,True,False,-0.04218315067706868
pca_cev_0.80,PC2,True,0.38088566544266217,0.14995634023193222,True,False,7.700691750829094
pca_cev_0.80,PC3,True,0.2923372286351965,0.40036686168426366,False,False,17.23492534237537
pca_cev_0.80,VNINDEX_history,False,12.304725566294962,1.080689297479445,True,False,32.0703559815565
pca_cev_0.90,PC1,True,5.795003337662262,0.5836721729879024,True,False,6.394265905108643
pca_cev_0.90,PC2,True,-0.34713306653827125,0.06411223002721221,False,True,-0.13075867656947793
pca_cev_0.90,PC3,True,-0.24454634495523084,0.07314066364276828,False,True,-0.021687462128046064
pca_cev_0.90,PC4,True,-0.626518777978219,0.0781154052015364,False,True,6.7290069716935825
pca_cev_0.90,PC5,True,-0.3577377990406866,0.044527905778260914,False,True,-0.42842466935898926
pca_cev_0.90,PC6,True,-1.1344768802438305,0.3554738780282628,False,True,32.23029440146608
pca_cev_0.90,VNINDEX_history,False,3.693336398082289,0.5164350595608649,True,False,7.348614040475059
pca_cev_0.95,PC1,True,4.0324885862161555,0.5118037961613398,True,False,5.169088999367808
pca_cev_0.95,PC2,True,-0.6355421077023664,0.14285529118060286,False,True,-0.21774781205981597
pca_cev_0.95,PC3,True,0.3005804343374535,0.1343439988948734,True,False,3.1171634501490075
pca_cev_0.95,PC4,True,-0.2934463820703135,0.11808553872511632,False,True,7.354470627578564
pca_cev_0.95,PC5,True,0.4485516832299371,0.15188107043837915,True,False,1.3224765070296343
pca_cev_0.95,PC6,True,-0.5700021411031481,0.3000639657276822,False,True,9.71321856748311
pca_cev_0.95,PC7,True,4.631862063435962,0.8037351430369917,True,False,11.717149837904309
pca_cev_0.95,PC8,True,-0.34761990338568244,0.527199157928949,False,True,0.9613872811137014
pca_cev_0.95,PC9,True,-0.2326419438837643,0.043324325252022074,False,True,0.7277553701269284
pca_cev_0.95,PC10,True,0.022113415269100933,0.5605367585434928,False,False,44.79336130297416
pca_cev_0.95,PC11,True,-0.11791230739104197,0.0833226801671662,False,True,-0.22106074571376055
pca_cev_0.95,VNINDEX_history,False,3.6380364843507635,0.4598374657295186,True,False,8.500673543767086
