Metric,Value
RMSE,31.703785531793955
MAE,22.101759281437122
MAPE,1.762148560727431
Mean_Residual,1.5426455089820204
Std_Residual,31.666232202136168
Min_Residual,-181.25980000000004
Max_Residual,57.181100000000015
Skewness,-1.8591772640853432
Kurtosis,8.30268854895284
