Metric,Value
RMSE,32.156448222202435
MAE,22.23142874251496
MAPE,1.7647898327961493
Mean_Residual,-0.9700155688622825
Std_Residual,32.14181438661095
Min_Residual,-162.7237
Max_Residual,68.7922000000001
Skewness,-0.7106937943846628
Kurtosis,4.4523368003139785
