PC,Rank,Sector,SymbolCount,TotalAbsLoading,ContributionPct,DominantDirection
PC1,1,Unknown,20,1.3950346910046523,100.0,Positive
PC2,1,Unknown,20,2.2632667387149707,100.0,Positive
PC3,1,Unknown,20,2.5486116243268135,100.0,Positive
PC4,1,Unknown,20,2.6801134640161535,100.0,Positive
