Ngày,PC1,PC2,PC3,PC4
2022-01-04,27.281916322074196,1.768835910279871,-6.59681552536415,-3.6777252569897776
2022-01-05,27.47363975604994,1.8682865358979164,-6.566429187736504,-3.778397085180511
2022-01-06,27.590390176723567,1.61004211105602,-6.8752706603244285,-3.960997502674339
2022-01-07,27.684072473076576,1.4809196072465443,-6.8681721027250955,-4.206186608425831
2022-01-10,27.122420017571564,1.0145187349409746,-7.112183898391505,-4.215807761587326
2022-01-11,26.78917816940728,0.6685291879703402,-7.141686850761955,-4.489322395736107
2022-01-12,26.97513363813078,0.7989570798145647,-7.408245106520438,-4.7824070718567455
2022-01-13,26.35539872724223,0.6673556365698783,-7.030508699748235,-4.652874547371885
2022-01-14,26.33371588552179,0.7218229430248667,-7.2151396510934624,-4.706508092895377
2022-01-17,24.743650116593557,-0.2629154228022848,-6.941014885143466,-4.719706269746774
2022-01-18,23.79980221445272,-0.76082286005187,-6.765844340130521,-4.405928993117275
2022-01-19,24.067972841267586,-0.6652820702075029,-6.558657788953338,-4.328525213214766
2022-01-20,25.083341813719418,-0.0990845996298726,-6.800948961074727,-4.4126342436477755
2022-01-21,25.12766117121523,0.012370070449966242,-7.0715280055234295,-4.248516786594804
2022-01-24,23.322265026267953,-0.7745863015005447,-6.937682198221896,-4.019812748323133
2022-01-25,23.85691927190416,-0.6730090057142304,-6.9993577259689586,-4.082866960653805
2022-01-26,23.824767696669507,-0.6901650169023912,-7.027405445747458,-4.192457637903473
2022-01-27,23.544356518211934,-0.924570768224019,-6.863953307633068,-4.192628763322713
2022-01-28,24.018626154876557,-0.5143107321738245,-6.804759971476068,-3.9746224675702466
2022-02-07,25.22320198852549,-0.01919754802846152,-6.595544137466768,-3.7413262956074886
2022-02-08,25.63349403079939,0.27292432214812623,-6.570558433193922,-3.5948757931573345
2022-02-09,26.101412053203294,0.5599019576884151,-6.740462455771876,-3.6015917891851137
2022-02-10,26.29465844279965,0.5836124801931287,-6.667904561913012,-3.711906071389957
2022-02-11,26.34093369234236,0.7200160167193563,-6.461068221541676,-3.863385556351042
2022-02-14,25.9519787682369,0.2795223384734572,-6.064842308181728,-3.352562387892804
2022-02-15,26.248936217259867,0.17461811821948703,-6.285535378228548,-3.343562874109614
2022-02-16,26.673822988265464,0.35182015901024155,-6.239632604050003,-3.273600648465359
2022-02-17,26.957269529261453,0.4144120017438815,-6.287774390791389,-3.5234700528458145
2022-02-18,27.216044910289213,0.7397025150722645,-6.143584533733166,-3.216699933178022
2022-02-21,27.522615656538186,1.0305585093404839,-6.426422953222915,-3.0095599939656843
2022-02-22,27.375573528721734,0.9189115075796249,-6.3426926245065935,-3.209716031339733
2022-02-23,27.812790809378335,1.2727091066361762,-6.2087430306283995,-2.9579885507343535
2022-02-24,27.10336461464577,1.104092849904492,-5.741787943140018,-2.8996141601313274
2022-02-25,27.571013701736327,1.277339186962175,-5.892983810300751,-3.02728719983883
2022-02-28,27.684312051786975,1.107046731850238,-5.702976267176185,-3.1076187069112327
2022-03-01,27.87331383933561,1.2383273419397751,-5.790489020740093,-2.986289590464304
2022-03-02,27.619285513037795,1.0479031069536322,-5.534255950129471,-2.876791365903283
2022-03-03,28.48906808061463,1.824553338989375,-5.562143792898214,-2.934402734981426
2022-03-04,28.691249787581256,1.8159525137711778,-5.519891632344235,-2.899977036331492
2022-03-07,29.091737033867155,1.9574414351818452,-5.318724495261685,-2.9547946527590754
2022-03-08,28.417139016838266,1.336624766430615,-5.378781539770269,-2.9094091637465933
2022-03-09,28.57833592476735,1.802859477987898,-4.967943794137772,-2.982820620060389
2022-03-10,28.838028197671658,1.9264327113509425,-5.191413308967954,-2.8023490687912274
2022-03-11,28.61075464112608,1.7890988302719761,-5.276340066071816,-3.0026035972400082
2022-03-14,27.9491047051157,1.1295855512436774,-5.31768615715741,-2.8930946281583196
2022-03-15,28.12040048896214,1.011650552555717,-5.403646516745091,-2.951403739809084
2022-03-16,28.351518552888816,1.2421779145983765,-5.405359799865536,-2.9848150387023415
2022-03-17,28.372879338744337,1.5229679212821536,-5.341846344777418,-2.944289903342972
2022-03-18,28.454809964243218,1.6213134304339303,-5.360455129845487,-2.9221515539985314
2022-03-21,28.723874574208402,1.4063253868290142,-5.324443325664076,-2.751945069053331
2022-03-22,28.699685710793574,1.4501700336653625,-5.146860254481427,-2.7403628649680276
2022-03-23,28.83056887592066,1.5739245921734473,-4.727425677308007,-2.3206073771912887
2022-03-24,29.05888465052839,1.7965153001587102,-4.523323936346081,-1.9978580728615267
2022-03-25,29.20397336070967,1.838428513356396,-4.219912711819355,-1.8407768308082157
2022-03-28,29.001841745019682,1.564558988124848,-3.584977474527212,-1.5274121043825561
2022-03-29,29.48958435088298,2.1460061947888835,-3.5683601679631964,-1.606025523033919
2022-03-30,28.990533318175892,1.963056365910035,-3.3223031576708317,-1.1149181485858364
2022-03-31,28.90506336466344,1.8681763511634775,-3.332247171850325,-1.118557008818693
2022-04-01,29.245091256519075,2.159737613111648,-3.1804645245084826,-1.1419083056495958
2022-04-04,29.38207248608227,2.472487832015229,-3.0435279881219914,-1.1462352068821158
2022-04-05,29.245313816123325,2.1104515122892025,-2.704667530333169,-0.9115860614897968
2022-04-06,29.022479675939625,1.8781041528855684,-2.6586032361212726,-0.6595743702810772
2022-04-07,28.459091442803594,1.3858017865113612,-2.4522986230640855,-0.5719207486945415
2022-04-08,27.371559357962468,0.6228219704483334,-2.5125190302442943,-0.20732952961367224
2022-04-12,26.114119335896554,-0.7072492756762293,-2.3035276949189534,-0.35775736953835247
2022-04-13,27.051713598482344,-0.11569220667360247,-2.051662942639359,-0.2829169794031523
2022-04-14,26.992754670934453,0.053768208869606204,-1.531534625096072,-0.40656900456158485
2022-04-15,26.365949182354875,-0.5127789609059235,-0.7576428748043746,0.5535544459410847
