Seed,N,DM_Stat,p_value,Significant
42,167,-2.686739319977075,0.007215323915886751,True
52,167,-3.5771319842268277,0.0003473847953514575,True
62,167,-3.3749037462598253,0.0007384151259044458,True
72,167,-3.33784764180558,0.0008443003102640567,True
82,167,-2.273380823274131,0.023003240750375298,True
