Symbol,n_outliers,min_val,max_val,mean_val
PNC,35,16050.0,20700.0,18515.714285714286
HTV,35,8450.0,9540.0,9225.714285714286
TMS,35,37000.0,43500.0,41995.71428571428
NAV,35,16300.0,21000.0,18762.485714285714
VTB,34,9430.0,10200.0,10005.29411764706
ABR,34,11800.0,14750.0,13484.35294117647
PGD,34,27500.0,30850.0,29583.823529411766
DTL,34,9400.0,10850.0,10177.941176470587
TN1,34,8236.5,9180.8,8830.064705882352
COM,33,26100.0,33300.0,30198.990909090906
BHN,32,35000.0,38600.0,36796.875
CCI,32,19550.0,23400.0,21029.6875
NHT,31,9900.0,11350.0,10972.58064516129
DAT,31,6400.0,8020.0,7276.129032258064
SC5,30,15800.0,19600.0,18063.333333333332
S4A,29,35100.0,37450.0,36303.44827586207
TBC,29,37300.0,41150.0,39441.379310344826
VAF,29,14900.0,20800.0,18241.379310344826
SPM,29,10700.0,12450.0,11681.034482758621
GTA,28,9460.0,11100.0,10534.642857142857
TDW,28,52000.0,68000.0,59821.42857142857
PGI,27,22200.0,25400.0,23175.925925925927
HNA,27,20832.0,24096.0,23281.777777777777
CMV,26,7440.0,8740.0,8247.692307692309
SRC,25,24000.0,27900.0,26080.0
LM8,25,12750.0,14600.0,13848.0
HU1,25,5800.0,6870.0,6218.8
STG,23,32900.0,41000.0,37189.13043478261
TIX,22,36000.0,39550.0,37602.27272727273
SSC,21,30300.0,36350.0,33445.23809523809
CVT,21,25400.0,29850.0,27378.571428571428
HRC,21,29900.0,42650.0,37223.80952380953
PJT,20,9400.0,11100.0,10420.0
SMA,19,9000.0,12500.0,10176.315789473685
QNP,18,32400.0,36700.0,34141.666666666664
DTT,16,14900.0,19000.0,16718.75
SVI,16,52000.0,67500.0,57225.0
DRH,14,1770.0,2280.0,1975.0
HAS,12,7500.0,8510.0,7928.333333333333
SFC,12,23500.0,26000.0,25004.166666666668
PMG,11,7720.0,8800.0,8193.636363636364
MDG,8,12800.0,15750.0,14231.25
FDC,4,16800.0,17000.0,16900.0
TTE,4,37350.0,43200.0,39537.5
CLW,4,43300.0,47000.0,45012.5
