P,Q,Status,Num_Params,AIC,BIC,HQIC,RMSE_val,MAE_val,MAPE_val(%),R2_val
1,1,OK,4,4408.389481679085,4429.763291785295,4416.754837273055,12.961619753302266,9.160039134188299,0.7346651924324125,0.7698534517776119
1,2,OK,6,4408.687865215868,4438.611199364562,4420.399363047426,13.169097242014823,9.287269872245682,0.7450878305779599,0.7624265407471184
1,3,OK,8,4411.210060842169,4449.6829190333465,4426.267700911315,13.306410959830373,9.348183023197773,0.7502666346091185,0.7574463710262938
1,4,OK,10,4411.885067290745,4458.907449524406,4430.2888495974785,13.258776001431555,9.273592707587374,0.7447295834250548,0.7591798739533162
1,5,OK,12,4415.008401710557,4470.580307986703,4436.75832625488,13.3805902454569,9.32127595236041,0.7487181990651596,0.7547345043521421
2,1,OK,5,4408.91934782729,4434.567919954741,4418.957774540054,13.05844023612211,9.180819406946418,0.7364473482040574,0.766402320737833
2,2,OK,7,4409.074589205878,4443.272685375813,4422.45915815623,13.19589400437579,9.383414864859343,0.7526848093058782,0.7614587179034358
2,3,OK,9,4410.624966833019,4453.372587045438,4427.355678020959,13.41393037785558,9.5052609993802,0.7628925255253262,0.7535107359823665
2,4,OK,11,4411.658401190571,4462.955545445474,4431.735254616098,13.361270452496,9.418609576131102,0.7563710133649352,0.7554422545549394
2,5,OK,13,4414.781811178563,4474.6284794759495,4438.204806841679,13.473571550201424,9.459005436011541,0.7597814889524347,0.7513139763546189
3,1,OK,6,4409.677565601351,4439.600899750044,4421.389063432908,13.167533743528802,9.224521095862627,0.7401093970126684,0.7624829491230493
3,2,OK,8,4408.307783316881,4446.780641508059,4423.365423386027,13.39170258568093,9.507856592840309,0.7629888935715279,0.7543269580015968
3,3,OK,10,4412.154085432871,4459.1764676665325,4430.557867739605,13.382332241972696,9.504394708252834,0.7627438145365381,0.7546706387912647
3,4,OK,12,4413.186901637762,4468.758807913908,4434.936826182085,13.325246015683296,9.434655427892345,0.7575684612296854,0.7567592218772665
3,5,OK,14,4416.225825530912,4480.3472558495405,4441.321892312822,13.437524705961982,9.474419552331321,0.7609327364927457,0.7526428526418779
4,1,OK,7,4411.4583997364225,4445.656495906358,4424.842968686775,13.175690850649302,9.216791777230773,0.7394218171511514,0.7621885808416053
4,2,OK,9,4410.1291723869235,4452.8767925993425,4426.8598835748635,13.40218794598545,9.506070384812665,0.7627997578689888,0.75394209598642
4,3,OK,11,4413.867372662824,4465.164516917727,4433.944226088352,13.40888653527338,9.507234433419526,0.7629505553721976,0.7536960685835998
4,4,OK,13,4414.676340418224,4474.523008715611,4438.09933608134,13.344664875762945,9.43848623789669,0.7578589129579136,0.7560497564948051
4,5,OK,15,4417.749440915998,4486.145633255869,4444.518578816702,13.47630467472712,9.48536869554203,0.7617936596307762,0.7512130738128242
5,1,OK,8,4413.425670172298,4451.898528363476,4428.483310241444,13.186939823048753,9.23497188059313,0.740890157816547,0.761782336327892
5,2,OK,10,4412.129049883967,4459.151432117628,4430.532832190701,13.401610979628497,9.505790623158047,0.7627767299417934,0.7539632811954615
5,3,OK,12,4415.867022988271,4471.438929264416,4437.616947532593,13.409894188387144,9.507698297532587,0.7629888329166085,0.7536590486195274
5,4,OK,14,4416.646767236178,4480.768197554807,4441.742834018088,13.331682109366023,9.436465717821843,0.7576833972547001,0.7565241945454197
5,5,OK,16,4419.749405709275,4492.420360070389,4448.191614728773,13.476192845536168,9.485481487172184,0.7618016234075644,0.7512172027674466
