Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
20,16,133.5021458196978,105.0153378035671,8.885155827941173,82.74787449297776,78.29756478658537,6.182371365509452,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,1
20,32,135.9293396293658,107.45107303589813,9.111046741506525,82.10916225769914,77.63918103722054,6.1300947647688595,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,1
30,16,127.35262013858384,100.84729092684658,8.64243523725096,82.63500883599876,78.19249003588669,6.174086494047857,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,1
30,32,130.20994089913393,103.60978867843689,8.899204846411962,81.75032224651287,77.27815262957317,6.101476253874778,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,1
40,16,120.83128035279843,96.64159992833291,8.401761774381692,82.36203763335713,77.9123356913745,6.151848017259988,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,1
40,32,123.8134790369887,99.40776783604775,8.658264459081744,81.86506448131102,77.39625416825459,6.110853826247268,496,123,2022-03-08,2024-02-29,2024-03-01,2024-08-26,1
50,16,115.29829624265054,92.83849308971516,8.178284655553261,82.49079974799214,78.04905841114076,6.162724158638961,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,1
50,32,118.24109522681574,95.52203684614518,8.428929741239829,81.9558319957791,77.49072368838924,6.118358723626197,486,123,2022-03-22,2024-02-29,2024-03-01,2024-08-26,1
60,16,107.14075750159397,88.1220192173549,7.904046153714648,82.5748427680406,78.13320157679117,6.169394002587512,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,1
60,32,110.35596292922283,90.89144269670759,8.164275664938945,81.87861617197406,77.41079442962399,6.112011196968754,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,1
