P,Q,Status,Num_Params,AIC,BIC,HQIC,RMSE_val,MAE_val,MAPE_val(%),R2_val
1,1,OK,5,4405.95764334537,4431.6062154728215,4415.996070058134,13.21397960285266,9.76974880694302,0.7819730936187399,0.7608044055501508
1,2,OK,8,4406.891589204637,4445.364447395815,4421.949229273783,13.727208712374203,10.30118834591039,0.8243757132462648,0.7418629241998145
1,3,OK,11,4409.71222768629,4461.009371941193,4429.789081111818,13.871522101084132,10.34402712239133,0.8284698758071115,0.7364068326664861
1,4,OK,14,4409.670462878118,4473.791893196747,4434.766529660028,13.722816581272829,10.09743297103712,0.8097141992118708,0.7420280838507043
1,5,OK,17,4412.180621569652,4489.126337952007,4442.295901707945,13.69545393698085,9.979050272328516,0.8005038859017016,0.7430558256830655
2,1,OK,6,4405.939563005342,4435.862897154036,4417.6510608369,13.42528342780366,9.956310371033258,0.7969015352151992,0.7530933207908559
2,2,OK,9,4408.177799325458,4450.925419537877,4424.908510513398,13.684097656881146,10.248845026213864,0.8202880857687426,0.7434817655974539
2,3,OK,12,4410.635733593086,4466.207639869232,4432.385658137408,13.858316034346068,10.293631378224886,0.824643496035367,0.7369084895022642
2,4,OK,15,4410.7641899509035,4479.160382290775,4437.533327851607,13.72202970087776,10.061801444814405,0.8070459800459913,0.7420576677516737
2,5,OK,18,4413.28705173527,4494.507530138867,4445.075402992356,13.691719277214323,9.96472081260579,0.7995193807276155,0.7431959405323165
3,1,OK,7,4406.978912941709,4441.177009111644,4420.363481892061,13.463739833699524,9.960573629430606,0.7974633597141055,0.7516767782155251
3,2,OK,10,4407.895218386594,4454.917600620255,4426.299000693328,13.770215460672176,10.26968365583043,0.822388703063375,0.740242925997671
3,3,OK,13,4412.128840567951,4471.975508865337,4435.551836231067,13.821646761443986,10.277911122860786,0.823402273227148,0.7382989341764579
3,4,OK,16,4412.440377204592,4485.111331565705,4440.882586224089,13.689582379972345,10.047082850901337,0.8058908900504008,0.7432760942444827
3,5,OK,19,4414.858775324166,4500.354015749005,4448.320197700046,13.66116858870444,9.955129070148011,0.7987744596900546,0.7443406890756927
4,1,OK,8,4408.631241505571,4447.104099696749,4423.688881574717,13.50248079644104,9.96740317749739,0.7978927252132478,0.7502456570497982
4,2,OK,11,4409.639226825855,4460.936371080758,4429.716080251383,13.804620435652728,10.283989529571148,0.8234336374889523,0.738943294898331
4,3,OK,14,4413.5387701647705,4477.660200483399,4438.6348369466805,13.898658712047062,10.323282236940916,0.8269417267852519,0.7353744986731432
4,4,OK,17,4413.881019806487,4490.826736188841,4443.996299944779,13.736408475587526,10.10232039824832,0.8101659604925461,0.7415168092975288
4,5,OK,20,4415.968562683872,4505.738565129953,4451.103056178546,13.744990157815154,10.025456078131777,0.8042484084111887,0.7411937388947849
5,1,OK,9,4410.552907272047,4453.300527484466,4427.283618459987,13.531712385790534,9.98564549272754,0.7993817816944957,0.7491630976030447
5,2,OK,12,4411.631918418183,4467.203824694328,4433.381842962505,13.812639967616542,10.28960394532704,0.8238907299644753,0.7386398949308356
5,3,OK,15,4415.503181716563,4483.899374056434,4442.2723196172665,13.916844145110314,10.331281779706872,0.827590938676789,0.7346815573266537
5,4,OK,18,4415.854366209338,4497.074844612935,4447.642717466424,13.755956333752891,10.111887185206578,0.8109345485608004,0.7407806069640684
5,5,OK,21,4417.968551839622,4512.013316306944,4454.776116453089,13.744827202646857,10.02528691538509,0.8042346791686207,0.7411998754677984
