Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,14.652934349277283,10.909589115041294,0.9409125536812517,24.261716346746493,20.073411855309956,1.6069970756640513,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,68
10,16,13.85453008127287,10.35150733628654,0.8919408452984994,28.485464967336355,24.774391156948678,1.970982518173133,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,93
10,32,17.19160396585884,13.2159144273185,1.1312604122872967,24.658436281847088,20.38535537347561,1.6285390033571312,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,54
20,8,15.9135791161711,11.894946255942651,1.0327743694833258,27.07516447860303,21.9065064469004,1.7465428228420208,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,43
20,16,14.917642159463332,11.149749372615375,0.9662711390981862,32.46488724716374,26.532834333714426,2.1001433308049307,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,16
20,32,15.042882648023648,11.16917978212815,0.9701166118557589,25.656486195421223,20.61392486820376,1.6484800722738397,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,93
30,8,14.587863285521957,10.926544527197073,0.9473933095774564,38.82954247556999,31.90199492663871,2.514762260393789,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,40
30,16,14.968362915326137,11.187140794836958,0.9711190402548829,24.501432037213995,18.7675491457063,1.5027437335903908,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,70
30,32,13.835227430164393,10.367683698933119,0.9025886279156425,39.713328187847274,34.64283346036584,2.7361708630373642,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,131
45,8,14.489198162378928,10.814269353241158,0.9486798862460437,33.61006470934235,26.285393840510665,2.0992284386643703,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,29
45,16,14.635289787961288,10.825714456903961,0.9511912720516118,48.01566139607834,40.28188718718241,3.1809149813961666,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,88
45,32,18.6624036843846,12.979475942949659,1.1247290783047228,26.78086889299947,22.028375254065043,1.749137748407905,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,46
60,8,15.832726487547692,11.628382281135115,1.029496003814252,35.301914529076726,30.00105456840701,2.3835328398114846,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,27
60,16,15.0577446837399,11.152185320172995,0.9835939855080044,32.823152954139545,28.68198730468749,2.284818904454884,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,18
60,32,16.426805704054704,12.593906629546352,1.0999788280557596,22.07361298083264,18.82177770102896,1.4981989407447598,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,78
