PC,Rank,Sector,SymbolCount,TotalAbsLoading,ContributionPct,DominantDirection
PC1,1,Unknown,20,1.3950346910046514,100.0,Positive
PC2,1,Unknown,20,2.2632667387149725,100.0,Positive
PC3,1,Unknown,20,2.548611624326812,100.0,Positive
PC4,1,Unknown,20,2.6801134640161566,100.0,Positive
